model_name,aux_pair,role,distance,mean_effect,std_effect,n_items,n_rows,mean_random,std_random,distance_idx
llama32_3b,be_present,prefix_before_subject,medium,0.13694444444444445,0.04723909305205636,100,100,-4.340277777777776e-05,0.0056923509398366726,1
llama32_3b,be_present,prefix_before_subject,long,0.12228587962962964,0.035924827826700256,100,100,0.0010040509259259258,0.005791193880941718,2
llama32_3b,be_present,prefix_before_subject,extra_long,0.09453414351851851,0.03731589260262423,100,100,0.00029803240740740745,0.005390491403908805,3
llama32_3b,be_present,subject,medium,1.8749189814814815,0.5321713641215734,100,100,0.009293981481481481,0.012894069263341093,1
llama32_3b,be_present,subject,long,2.0422743055555554,0.41500967718094484,100,100,0.008990162037037038,0.010405802594072814,2
llama32_3b,be_present,subject,extra_long,1.5998234953703703,0.31587217592420197,100,100,0.0038744212962962964,0.008019691799597137,3
llama32_3b,be_present,between_subject_distractor,medium,0.6914525462962964,0.2470570679232211,100,100,0.004623360339506173,0.010919720492187594,1
llama32_3b,be_present,between_subject_distractor,long,0.7802454668209876,0.19026112681160207,100,100,0.003825713734567901,0.008230515625010437,2
llama32_3b,be_present,between_subject_distractor,extra_long,0.6177869405864197,0.19539633525937758,100,100,0.0018132716049382715,0.007802588851854206,3
llama32_3b,be_present,distractor,medium,0.2553993055555555,0.12784335396258334,100,100,-0.00816550925925926,0.018634407211340992,1
llama32_3b,be_present,distractor,long,0.20925636574074072,0.0748021833147042,100,100,-0.0047945601851851856,0.016426042628995392,2
llama32_3b,be_present,distractor,extra_long,0.14063368055555556,0.0698084858792354,100,100,-0.007644675925925925,0.012278513822619097,3
llama32_3b,be_present,filler_after_distractor,medium,0.5454494598765433,0.23565381353218964,100,100,0.005059799382716049,0.007192786547383912,1
llama32_3b,be_present,filler_after_distractor,long,0.4786046810699588,0.10267766237091909,100,100,0.00045846193415637857,0.005602046669866251,2
llama32_3b,be_present,filler_after_distractor,extra_long,0.3175205761316872,0.06338902137180487,100,100,0.001035718878600823,0.005282281393412564,3
llama32_3b,be_present,final,medium,3.1810040509259263,0.6025438993913989,100,100,-0.028220486111111113,0.021626630923049034,1
llama32_3b,be_present,final,long,3.2925,0.47448707198880824,100,100,0.0076996527777777775,0.017246055681838297,2
llama32_3b,be_present,final,extra_long,2.3280208333333334,0.17117154796483222,100,100,-5.208333333333336e-05,0.008999733938982013,3
phi2,be_present,prefix_before_subject,medium,0.22482254243666128,0.08462894588821168,100,100,0.00846836428488454,0.0058295571826182,1
phi2,be_present,prefix_before_subject,long,0.07636569176950761,0.05636618858681015,100,100,0.004974373232933783,0.0055133808863019815,2
phi2,be_present,prefix_before_subject,extra_long,-0.14816264244817914,0.023290446550286587,100,100,-0.0008221180208267721,0.004439792687804221,3
phi2,be_present,subject,medium,2.4147661928976736,0.46340461668142785,100,100,0.005729242447883849,0.007516350323802167,1
phi2,be_present,subject,long,2.2641279491301507,0.40221676667606626,100,100,0.00793389197318784,0.006472933426581905,2
phi2,be_present,subject,extra_long,1.8083133666746078,0.42100339072573434,100,100,0.010049807025540253,0.005840337725997698,3
