model_name,aux_pair,distance,between_subject_distractor,distractor,filler_after_distractor,final,prefix_before_subject,subject,subject_div_final,between_div_final,filler_div_final,distractor_div_final,subject_minus_final,dominance
llama32_3b,be_present,medium,0.6914525462962964,0.2553993055555555,0.5454494598765433,3.1810040509259263,0.13694444444444445,1.8749189814814815,0.5894110637601139,0.21736927562070488,0.17147084729985612,0.08028889667122993,-1.3060850694444448,final_dominant
llama32_3b,be_present,long,0.7802454668209876,0.20925636574074072,0.4786046810699588,3.2925,0.12228587962962964,2.0422743055555554,0.6202807306167215,0.2369766034384169,0.14536208992253874,0.06355546415815967,-1.2502256944444445,final_dominant
llama32_3b,be_present,extra_long,0.6177869405864197,0.14063368055555556,0.3175205761316872,2.3280208333333334,0.09453414351851851,1.5998234953703703,0.6872032554277844,0.2653700223557935,0.13639077949188766,0.06040911599325846,-0.7281973379629632,final_dominant
phi2,be_present,medium,1.754785907960707,0.48208972007997575,0.7702185079102876,5.3786059161155455,0.22482254243666128,2.4147661928976736,0.448957635223372,0.32625292414582063,0.14320039800695103,0.08963098014590055,-2.963839723217872,final_dominant
phi2,be_present,long,1.4646644779943652,0.4452528369042181,0.5985903392641347,4.085592246824695,0.07636569176950761,2.2641279491301507,0.5541737433268876,0.3584950209195977,0.14651250127306675,0.10898122230632944,-1.8214642976945443,final_dominant
phi2,be_present,extra_long,0.966322962135397,0.28438464318552326,0.30396274845232674,2.677843262764715,-0.14816264244817914,1.8083133666746078,0.6752872327589595,0.3608586714435727,0.11351028369692674,0.10619913687252662,-0.8695298960901072,final_dominant
qwen25_3b,be_present,medium,1.5956845238095239,0.20249553571428572,0.7802403273809524,2.6938973214285715,0.0023370535714285715,3.9921986607142856,1.481941657151664,0.5923330897271666,0.2896325413647138,0.07516824568759084,1.2983013392857141,subject_dominant
qwen25_3b,be_present,long,1.459845982142857,0.113015625,0.43480307539682544,2.1681473214285716,-0.0709375,3.860104910714286,1.7803702140364244,0.6733149393100182,0.2005412967557656,0.05212543625750259,1.6919575892857144,subject_dominant
qwen25_3b,be_present,extra_long,1.2670896577380952,0.09666741071428571,0.23191951884920634,1.6499174107142858,-0.05708035714285714,3.1323772321428573,1.8985054717295102,0.7679715660370806,0.14056431997332716,0.05858924215633087,1.4824598214285716,subject_dominant
