boot_drop_mean,boot_drop_ci_low,boot_drop_ci_high,p_drop_positive,boot_pct_drop_mean,boot_pct_drop_ci_low,boot_pct_drop_ci_high,boot_slope_mean,boot_slope_ci_low,boot_slope_ci_high,p_slope_negative,model_name,aux_pair,role,n_total,n_medium,n_long,n_extra_long
0.04244563078703703,0.030844690393518556,0.05385749421296296,1.0,30.918102622666286,23.42774786708102,37.59047893895509,-0.021222815393518543,-0.026928747106481528,-0.015422345196759316,1.0,llama32_3b,be_present,prefix_before_subject,300,100,100,100
0.2743034866898148,0.14865002893518492,0.3968797019675922,1.0,14.569722853632308,8.452806062907404,20.20452685290053,-0.1371517433449077,-0.19843985098379663,-0.0743250144675928,1.0,llama32_3b,be_present,subject,300,100,100,100
0.0733794704861111,0.013548586998456706,0.1363775559413581,0.9925,10.49631582808153,2.0782507166436863,18.741001725249475,-0.03668973524305567,-0.06818877797067918,-0.006774293499228519,0.9925,llama32_3b,be_present,between_subject_distractor,300,100,100,100
0.11453597222222223,0.08648256655092595,0.14394299768518515,1.0,44.717519251920315,36.88492305315592,51.888626189407006,-0.057267986111111155,-0.07197149884259268,-0.04324128327546305,1.0,llama32_3b,be_present,distractor,300,100,100,100
0.22792930033114708,0.18175021299511313,0.2760902536651234,1.0,41.67336346844165,36.03985766785784,46.76161990745474,-0.11396465016557365,-0.1380451268325618,-0.09087510649755667,1.0,llama32_3b,be_present,filler_after_distractor,300,100,100,100
0.8516258174189814,0.7284752604166661,0.9764069733796297,1.0,26.756611095592156,23.799917499564526,29.660355144573057,-0.42581290870949134,-0.48820348668981517,-0.3642376302083336,1.0,llama32_3b,be_present,final,300,100,100,100
0.3728067754911607,0.3554324399655865,0.3900845180249983,1.0,166.03954578423495,161.06511928556333,171.71254119168597,-0.1864033877455804,-0.19504225901249914,-0.1777162199827933,1.0,phi2,be_present,prefix_before_subject,300,100,100,100
0.6085635681410758,0.48610988249317294,0.7328892998387743,1.0,25.17360074203738,20.551308677090145,29.598219899038206,-0.30428178407053835,-0.3664446499193874,-0.24305494124658664,1.0,phi2,be_present,subject,300,100,100,100
0.7892207574944087,0.7156573927389679,0.8627422882305679,1.0,44.945873147648626,42.02979728553046,47.60961004777796,-0.3946103787472046,-0.4313711441152843,-0.3578286963694843,1.0,phi2,be_present,between_subject_distractor,300,100,100,100
0.19794644312520182,0.1727092188019906,0.22099782210011648,1.0,41.00600880214483,37.325436119606366,44.51753101604234,-0.098973221562601,-0.11049891105005838,-0.08635460940099544,1.0,phi2,be_present,distractor,300,100,100,100
0.46618589111722075,0.4392769812221595,0.492715105761764,1.0,60.503328065225595,58.78976160597415,62.1322853802746,-0.2330929455586105,-0.24635755288088212,-0.21963849061107985,1.0,phi2,be_present,filler_after_distractor,300,100,100,100
2.698747165145874,2.5306655651215593,2.875942735402815,1.0,50.17464155245596,48.38829909592813,51.8831670322637,-1.349373582572938,-1.4379713677014085,-1.265332782560781,1.0,phi2,be_present,final,300,100,100,100
0.05946303683035714,0.053810156249999984,0.06497773437499998,1.0,1684.4676321278537,-26306.523267326706,21628.236142775684,-0.02973151841517857,-0.0324888671875,-0.026905078124999992,1.0,qwen25_3b,be_present,prefix_before_subject,300,100,100,100
0.8606407008928572,0.6482526785714284,1.0854073102678568,1.0,21.514067603866497,16.71154255669513,26.427714268168824,-0.43032035044642925,-0.5427036551339295,-0.3241263392857154,1.0,qwen25_3b,be_present,subject,300,100,100,100
0.32710151302083335,0.2308867373511911,0.4301414806547625,1.0,20.46401911914931,14.824533181028576,26.14012803135639,-0.16355075651041695,-0.21507074032738158,-0.11544336867559592,1.0,qwen25_3b,be_present,between_subject_distractor,300,100,100,100
0.10599878459821428,0.0822780691964286,0.12934709821428567,1.0,52.19191297578279,44.77208671734559,59.213097000734386,-0.05299939229910718,-0.06467354910714285,-0.041139034598214344,1.0,qwen25_3b,be_present,distractor,300,100,100,100
0.5478426348586309,0.49347240513392865,0.6029485894097222,1.0,70.23066379807256,67.61715136902812,72.60040640281443,-0.27392131742931564,-0.3014742947048612,-0.24673620256696455,1.0,qwen25_3b,be_present,filler_after_distractor,300,100,100,100
1.045070135044643,0.928827957589286,1.1595207031250003,1.0,38.74634721574285,35.77406660649905,41.43937162512876,-0.5225350675223219,-0.5797603515625006,-0.4644139787946435,1.0,qwen25_3b,be_present,final,300,100,100,100
