model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,1.5509615384615385,1.4857261618589743,1.611701221955128,1.1024305555555554,1.0451954794337606,1.160765892094017,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,1.5416466346153845,1.4786002604166666,1.6006515424679488,3.6881777510683764,3.610574502537393,3.769290948851496,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.4875,1.423846654647436,1.5469421073717948,1.0263221153846154,0.9726422275641025,1.0836408253205128,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.4698116987179488,1.4048953325320512,1.5307496995192307,0.8461471688034189,0.7929627403846153,0.901108607104701,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.4268629807692308,1.3621349158653846,1.4869871794871796,0.5387686965811966,0.4984421741452991,0.578306623931624,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,1.4290264423076924,1.3645382612179489,1.488624298878205,0.6319310897435897,0.5828161725427351,0.6856101428952991,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,1.401602564102564,1.3352273637820513,1.4613992387820511,0.8948918269230769,0.8422180488782052,0.9525861378205126,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,1.0732772435897435,1.0129151642628205,1.1283473557692307,0.7405582264957266,0.6933391760149572,0.788861845619658,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,1.041025641025641,0.9803380408653846,1.09671875,1.053505608974359,0.993746828258547,1.116192407852564,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.9701322115384615,0.9070102163461539,1.02740234375,0.5021033653846154,0.46419170673076926,0.5410194644764957,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,10,False,0.9450721153846153,0.8827498998397436,1.0006876001602565,0.706744123931624,0.6631685697115385,0.7533670539529914,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,11,False,0.9392227564102564,0.8799659455128205,0.9925485777243589,0.8260817307692307,0.7779039797008547,0.8733313301282052,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,12,False,0.9152844551282051,0.8566045673076923,0.9689673477564101,0.9706997863247864,0.9227652577457265,1.0209408386752137,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,13,False,0.6647636217948718,0.610684595352564,0.7144641426282051,0.9856637286324786,0.9317426215277779,1.044024105235043,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,14,False,0.6123798076923077,0.5586873998397436,0.6622811498397435,1.1383279914529914,1.0907461939102565,1.1892232572115384,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,15,False,0.40412660256410254,0.3533363381410256,0.45178285256410255,0.4727630876068376,0.43994123931623935,0.5071681356837606,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,16,False,0.0391025641025641,-0.0007496995192307687,0.07771684695512814,1.6039930555555557,1.5549257144764959,1.6562540064102564,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,17,False,0.015905448717948717,-0.02141426282051282,0.05214593349358973,0.6612045940170941,0.6196307425213675,0.7042496327457265,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,18,False,0.0010416666666666667,-0.03300030048076923,0.03369591346153845,0.6167067307692309,0.5828789396367522,0.652854233440171,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,19,False,-0.012740384615384615,-0.04682091346153846,0.019400540865384563,0.6784922542735043,0.6434276509081197,0.7149118589743589,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,20,False,-0.03062900641025641,-0.06057842548076923,-0.0010566907051282324,0.8998130341880342,0.8654869457799145,0.9391503071581195,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,21,False,-0.0140625,-0.04425731169871795,0.014824218749999996,0.9431557158119659,0.9082388488247862,0.9795083800747864,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,22,False,-0.003425480769230769,-0.032758914262820515,0.02492187499999999,0.8067908653846154,0.7729383680555554,0.8403532318376068,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,23,False,-0.03938301282051282,-0.06857071314102564,-0.01079076522435901,0.1932091346153846,0.17803786057692308,0.20902443910256405,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,24,False,-0.1427684294871795,-0.1696113782051282,-0.11651792868589748,0.19865117521367523,0.18380692441239316,0.21505775908119656,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,25,False,-0.03499599358974359,-0.05496945112179487,-0.01574469150641026,0.12570779914529914,0.11590511485042736,0.13622579460470086,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,26,False,-0.14076522435897437,-0.15743389423076923,-0.12453725961538463,0.4063167735042735,0.39203809428418795,0.42102781116452986,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,27,False,-0.10953525641025641,-0.12263621794871794,-0.09621294070512822,0.08526308760683762,0.07797809829059829,0.09251552483974361,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,28,False,-0.07321714743589744,-0.08547726362179488,-0.060653545673076945,0.2822315705128205,0.2717210870726496,0.29335052751068375,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,29,False,-0.20130208333333333,-0.21822966746794872,-0.1858173076923077,0.11004273504273505,0.10267010550213675,0.11764306223290596,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,30,False,-0.6051081730769231,-0.6307291666666667,-0.5816882011217949,0.15711805555555558,0.1488302951388889,0.16552550747863248,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,31,False,-0.21712740384615384,-0.2285466746794872,-0.2064698517628205,0.14224759615384616,0.13649839743589742,0.1480306824252137,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,32,False,-0.21602564102564104,-0.22754457131410258,-0.20546875,0.06404246794871794,0.05987546741452992,0.06847723023504272,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,33,False,-0.21923076923076923,-0.23070963541666667,-0.20845052083333335,0.03611778846153846,0.03360026041666667,0.038601762820512815,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,34,False,-0.20346554487179488,-0.21424328926282052,-0.19316856971153845,0.03490918803418804,0.031596888354700856,0.038154714209401704,390
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,35,False,0.0,0.0,0.0,0.0,0.0,0.0,390
