model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,2.246895032051282,2.1861768830128208,2.304854767628205,1.1626469017094017,1.1126817908653845,1.2139294537927352,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,2.0044871794871795,1.9448647836538462,2.064023938301282,1.0369457799145299,0.9843429487179487,1.0939663461538462,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.977724358974359,1.9158738982371795,2.037746394230769,0.5306824252136751,0.49193843482905986,0.5708401776175213,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.6023637820512822,1.5420247395833333,1.6613246193910256,0.9556423611111111,0.904019264155983,1.005231704059829,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.265244391025641,1.2080288461538462,1.3223763020833332,1.1260149572649574,1.0767633213141026,1.1740873731303418,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,1.2534254807692307,1.1934830729166668,1.311759815705128,0.9365985576923077,0.8867748397435897,0.9848993389423076,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,1.1172876602564104,1.0615579927884615,1.171036157852564,0.7389556623931625,0.7005655715811966,0.7768341012286325,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,0.5354166666666667,0.5016125801282052,0.5694551282051282,0.5092013888888889,0.4782171474358974,0.5401255341880342,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,0.5479166666666667,0.5176462339743589,0.5785461738782051,0.4487847222222222,0.41868005475427345,0.47789246127136753,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.452724358974359,0.42483774038461536,0.4804156650641025,0.36030982905982906,0.33561147836538463,0.3859122930021367,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,10,False,0.47313701923076923,0.4459880809294872,0.5011448317307693,0.5107772435897436,0.4789718549679487,0.5418409455128205,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,11,False,0.27271634615384616,0.2530048076923077,0.29351512419871795,0.722008547008547,0.6953285256410257,0.7470783253205127,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,12,False,0.24921875,0.23238982371794872,0.26728916266025643,0.19756276709401707,0.1818933627136752,0.21317157451923077,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,13,False,0.24649439102564102,0.2294215745192308,0.2638020833333333,0.137099358974359,0.12618139022435898,0.14832498664529917,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,14,False,0.07926682692307692,0.06526392227564103,0.09355068108974358,0.11642628205128205,0.10711772168803418,0.12672960069444444,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,15,False,0.009314903846153846,-0.0032857572115384615,0.02171674679487178,0.10942174145299145,0.10096788194444443,0.11858490251068374,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,16,False,-0.36999198717948717,-0.39056590544871794,-0.3483748998397436,0.15822649572649572,0.14834385016025642,0.16853064903846154,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,17,False,-0.36770833333333336,-0.388202624198718,-0.34679286858974356,0.30575587606837606,0.2938229500534188,0.31737179487179484,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,18,False,-0.37081330128205126,-0.3908067908653846,-0.34975610977564103,0.3500734508547008,0.3385665397970086,0.36193993723290596,390
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,19,False,-0.34525240384615385,-0.3650045072115385,-0.3244736578525641,0.1443175747863248,0.13586922409188032,0.15320696447649573,390
