model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,12,False,0.35187426591530824,0.32746675240687834,0.3759525759403522,0.6902517970810589,0.665418890622946,0.7164464350847098,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,13,False,0.28906370554214866,0.26563922142371155,0.3114108580198043,0.5357761334150265,0.5128913442090026,0.5593118484407409,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,14,False,0.2288773169884315,0.20601251846704727,0.2510759332852486,0.2145340756473378,0.1982090178514138,0.23093400117678517,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,15,False,0.11185530393551557,0.09051324838247055,0.13145057403124297,0.4120236046293861,0.39560726139280533,0.4298306323524214,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,16,False,0.04621308400080754,0.025944174069624678,0.06555670383648994,0.8938497282500959,0.8757785409536117,0.9154948759486532,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,17,False,0.00599662096072466,-0.012865626078385572,0.023618739384871253,0.5722107822059566,0.5530714953862704,0.5936221090341225,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,18,False,-0.09214169428898739,-0.11072753881796812,-0.07482118789966291,0.1724747258373815,0.16151845974799914,0.1839923822166573,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,19,False,-0.12274144735091772,-0.1397623125100747,-0.10619843696936583,0.1967809179909209,0.18571218812567558,0.20840518433823546,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,20,False,-0.1901772352365347,-0.20633850440000875,-0.17526247006196244,0.6569645661574144,0.6422680792645511,0.6738991822340549,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,21,False,-0.43297193233783426,-0.45108864900393364,-0.41491803511595116,0.14478767346113156,0.13511848070682625,0.15517924486062462,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,22,False,-0.4514755175663875,-0.4695740606234624,-0.43342743751330254,0.27586140510363455,0.2642759125456851,0.28877892398426674,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,23,False,-0.8546863653720953,-0.8797318558203869,-0.8297636981499501,0.11992550140772112,0.11158590526662321,0.1286268548068837,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,24,False,-0.5043500973628118,-0.5200013049443563,-0.4885111841788659,0.05664128197564019,0.05207435630325578,0.0610600286671239,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,25,False,-0.4688959537408291,-0.48313059513385476,-0.45473778675764037,0.10891162350646451,0.1028207164340549,0.11515058717157087,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,26,False,-0.2877269793779422,-0.29764619136467957,-0.27799062325404245,0.08728385582948342,0.08301339907523914,0.09193021951577603,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,27,False,-0.28673132627438275,-0.2966233562200497,-0.27705402955030783,0.19267904249011958,0.1880187149129362,0.19756797342218904,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,28,False,-0.06797314423781176,-0.07410636296639075,-0.06220663449703119,0.01785529046996027,0.016120838140830016,0.01955183666995448,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,29,False,-0.017096898494622648,-0.019077243499266795,-0.015091426127996202,0.07419978981344108,0.07247137520048354,0.07604777061022244,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,30,False,-0.0034154476263584233,-0.0040858688721289995,-0.0027166856863559824,0.10280948948656392,0.10110860368125459,0.1043634248798729,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,31,False,0.0,0.0,0.0,0.0,0.0,0.0,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,0,True,1.1655456200624124,1.1267896240796798,1.205698561607263,1.4042553494119234,1.366594832126911,1.4420678899838375,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,1,False,1.0215275006416515,0.9864986143356714,1.0579717843349163,0.7625186716389453,0.7303516259152667,0.7956304500449415,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,2,False,0.9450957738436185,0.9128221151156304,0.9780057525634765,0.996792472122062,0.9671863671449515,1.0271161560319428,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,3,False,0.8653175940880409,0.8359481751613128,0.895087450895554,1.44190736265264,1.4052034701648943,1.4786370633198667,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,4,False,0.6956332108913323,0.6699335228479826,0.7219586491584778,0.919106700277736,0.8939750275652633,0.94596758027362,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,5,False,0.5183258203359751,0.4972605294447679,0.541022712573027,0.3822333026136088,0.36169571697202507,0.40407494390112714,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,6,False,0.4581138366307968,0.4385623063185276,0.47920179428198395,0.6230099131918362,0.59952392969376,0.6487068686118492,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,7,False,0.38751860643044495,0.3691552053353725,0.40725920860583964,0.5436152556003668,0.5275755007654173,0.5600407076697064,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,8,False,0.37765218294583836,0.3595415528615316,0.396719988492819,1.6016761249966092,1.5785354918088668,1.6254281882139354,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,9,False,0.37557680912506886,0.35803503733414865,0.39458806942670777,0.313003239264855,0.29616479616898755,0.3292899653646681,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,10,False,0.37341367036868367,0.3560878945619632,0.3920196363864801,0.6478574198535364,0.6288577556406331,0.6676612930012564,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,11,False,0.28539447784423827,0.2683018997388008,0.3027813030511905,0.4406923098441882,0.42126406205006134,0.4602155181485364,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,12,False,0.2695753880036183,0.25219446487915825,0.2874363366762797,0.8217731532887516,0.8031659612288841,0.8391876680626829,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,13,False,0.2983925330333221,0.281494371463091,0.3169474713007609,0.5911603520059178,0.5724782371928548,0.6092883388405171,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,14,False,0.2946053651662973,0.2771679195990929,0.3131440231738946,0.3918031627296383,0.3751022169528863,0.4088071691480457,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,15,False,0.2892618154868101,0.2718523323841584,0.30786214149915253,0.4547413777082394,0.4380565156692114,0.47109524078858206,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,16,False,0.2930751776083922,0.27530103811850914,0.31205440777998705,0.6537068774557522,0.6371259870284642,0.6711679597797556,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,17,False,0.2802297763335399,0.2630242730409671,0.298486708677732,0.49688159583980196,0.4791184058148637,0.5144606449868944,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,18,False,0.3125181075854179,0.29411107760209304,0.33218854745229087,0.12699656527266545,0.11804187356916249,0.13674243592808388,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,19,False,0.30167319224430966,0.28476256064879585,0.3200403211055658,0.11562523475060096,0.10754235626285913,0.12375312503586466,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,20,False,0.2990597113584861,0.2822962213173891,0.3170280495056739,0.3592283069577991,0.34729949706639995,0.3714005008518186,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,21,False,0.4907600867442596,0.4683231351925776,0.5137874859418624,0.08534917342357147,0.07855403060587043,0.09227010341791006,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,22,False,0.48807154435377853,0.4655068018497565,0.5105950514475505,0.14530295836619841,0.13652447052491015,0.15424753211502334,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,23,False,0.7410397700774364,0.7132846228892986,0.7692141968776017,0.0756517695565509,0.06921853363004506,0.08215518712997436,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,24,False,0.46242014567057294,0.44589175847860485,0.47906075783264945,0.05446366856240819,0.05023080823767899,0.05863515095833019,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,25,False,0.4000169264964568,0.3856576312505282,0.4145113536639091,0.056880238524868953,0.052990808283161904,0.0610354157594534,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,26,False,0.20545811041807516,0.1964872179275904,0.21441313175054696,0.0471066662388989,0.043643909254644675,0.050660608792916326,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,27,False,0.2046109077257988,0.19603184180381972,0.2134346860494369,0.127393250587659,0.12334127265163973,0.1313656401837993,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,28,False,0.024445140056121042,0.020012098703628932,0.029341223056499773,0.024205062735793936,0.02215877616507375,0.026299607509221782,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,29,False,-0.002673183343349359,-0.004468025488731189,-0.0007251456456306702,0.10795809346386509,0.10610857018038757,0.10969597231628547,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,30,False,-0.004895493923089443,-0.005622055347149189,-0.004125657754066664,0.13402148760282076,0.1324666556333884,0.1355326882386819,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,31,False,0.0,0.0,0.0,0.0,0.0,0.0,390
phi2,dist_pl_to_sg,distractor_patch,0,True,1.5656647144219815,1.5221577431605413,1.6094495443197396,0.5175874147659693,0.4812815835129501,0.5554887563958127,390
phi2,dist_pl_to_sg,distractor_patch,1,False,1.4844603049449432,1.4423091130378918,1.5272820744147666,0.4136059834406926,0.3832892984814114,0.4473115384069264,390
