model_tag,direction,position,alpha,effect_mean,effect_ci_lo,effect_ci_hi,n_items
llama32_3b,subject_train_split,final,-1.0,2.9876967098638203,2.9318695638775263,3.04009228567339,195
llama32_3b,subject_train_split,final,1.0,-3.1847818191687716,-3.2318356708062908,-3.1396255445661483,195
