model_tag,direction,position,alpha,effect_mean,effect_ci_lo,effect_ci_hi,n_items
qwen25_3b,distractor,final,-1.0,0.9754103708791209,0.9494502275068681,1.0028378763163919,390
qwen25_3b,distractor,final,1.0,-0.24813072344322343,-0.28740552026098903,-0.2120737465659341,390
qwen25_3b,subject,final,-1.0,2.3812449919871796,2.349217508728251,2.414530169700092,390
qwen25_3b,subject,final,1.0,-1.2846600274725275,-1.321551754235348,-1.2507307406135533,390
