model_tag,direction,position,alpha,layers,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_shuf,real_vs_rand,peak_layer,n_items
phi2,distractor,distractor,1.0,1+,0.13063781799808627,0.12228817413225956,0.13926870472476538,-0.00010041614718630455,-0.00021012277816128788,7.732677696360345e-06,0.00012936238451111864,-0.0009636165565257233,0.0012187833696611988,0.13053740185089996,0.13050845561357516,19,390
phi2,distractor,final,1.0,1+,0.6834989152534428,0.6482654507777433,0.7201812794821828,0.008001790153181582,0.007751039178830912,0.00828336027459333,0.006335015477048223,0.0042813368483880735,0.008490619519409607,0.6754971251002612,0.6771638997763946,19,390
phi2,distractor,subject,1.0,1+,1.9881181036173754,1.9406465910958104,2.038553383234022,0.00012207189012500646,7.886022452582397e-05,0.00016385613047849846,0.0027480915028561827,0.00215194160628654,0.0033445425660675273,1.9879960317272505,1.9853700121145192,1,390
phi2,subject,distractor,1.0,1+,0.3629446367274837,0.3476050435106453,0.3786021561441193,0.0007990321213790855,0.0006925497575669963,0.0009080787016598027,-0.006049070523926993,-0.007630199226492984,-0.004434838669668852,0.3621456046061046,0.3568955662035567,22,390
phi2,subject,final,1.0,1+,3.2231381752354933,3.1706525030345145,3.2747032851025133,-0.00563628659749248,-0.005839275830634079,-0.005421879088415204,-0.06302522888583259,-0.06647662794882514,-0.05948615936724187,3.217501888638001,3.1601129463496607,30,390
phi2,subject,subject,1.0,1+,2.8462728807214273,2.7904740710708107,2.904503564089167,7.636336081278433e-05,9.668119886475624e-06,0.00014173644154992743,0.01302856203935874,0.012273075741646143,0.013806009562113478,2.8461965173606143,2.8332443186820684,1,390
