model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,2.1098732461734695,2.0538275271045916,2.1677335778061226,1.1389110331632653,1.086544862085459,1.1924319727891157,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,1.897122130102041,1.8409837372448978,1.9533307756696427,0.9847868835034015,0.930817190157313,1.0401284146471088,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.8708745216836735,1.8119613958864795,1.928732362085459,0.514462425595238,0.4747608418367347,0.5550118582589286,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.5429488201530612,1.4850919762436225,1.5986148756377552,0.889276413690476,0.8388736647002553,0.9400191326530614,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.2340760522959184,1.1809430803571428,1.2882095025510203,1.1021869685374148,1.0520227133822277,1.1523867652529762,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,1.2213807397959184,1.1665776466836735,1.2763876155931122,0.8522799744897959,0.8027649340986396,0.8999973426870748,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,1.0844626913265305,1.0330671037946428,1.136539381377551,0.6358086203231292,0.597187732514881,0.6738123472045068,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,0.5290975765306123,0.4958476163903061,0.5615433673469388,0.5123697916666667,0.4828945445365646,0.5433552229485544,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,0.5532326211734694,0.522972636320153,0.5834552375637755,0.40630314625850344,0.378399201477466,0.4333846526892007,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.46055883290816324,0.43371283083545914,0.48750697544642857,0.2960113732993197,0.27556966145833334,0.3185903951424319,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,10,False,0.47921316964285715,0.4524867466517857,0.507176737882653,0.47299505739795916,0.4448091052827381,0.5032904177295918,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,11,False,0.2895408163265306,0.27038723692602046,0.31016820790816324,0.6566552402210885,0.6323110982674319,0.6820802442070579,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,12,False,0.26853475765306123,0.2519307039221939,0.2866325534119898,0.19440237032312924,0.17957855017006802,0.2093276666135204,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,13,False,0.2661830357142857,0.25069306042729594,0.28332419882015303,0.14153512967687076,0.12966923097363947,0.15342693718112246,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,14,False,0.09769610969387756,0.08430225605867346,0.11142777423469388,0.1058341305272109,0.09750943346088435,0.11445146417942177,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,15,False,0.025510204081632654,0.014028121014030613,0.037648975605867344,0.11773224914965988,0.10905562420280612,0.1268476628932823,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,16,False,-0.3529775191326531,-0.37422323421556125,-0.3324831592793368,0.16379676870748303,0.1547816685267857,0.1733835233312075,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,17,False,-0.35255899234693877,-0.3735476124043367,-0.3323476363201531,0.3011134141156462,0.29069857435161567,0.3119310028698979,392
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,18,False,-0.35696348852040816,-0.3782485650510204,-0.3367541254783163,0.33984375,0.32955862032312927,0.3502675581951531,392
