model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,1.3337651466836735,1.2783148317920918,1.3874611367984695,0.8712199723639457,0.8227761612457483,0.9183588767538264,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,1.3228834502551021,1.2694161551339287,1.374213767538265,3.620937632865646,3.5512265990380527,3.6900498578337584,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.2772241709183674,1.2231704400510206,1.3286685865752552,0.763857886904762,0.7183235012755101,0.8100815130739795,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.263592155612245,1.2095738002232144,1.3149438974808672,0.6318957270408163,0.5891176392431974,0.675806660554847,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.2286551339285714,1.17493971221301,1.2814966318558672,0.49857833758503395,0.46159867267219395,0.5366805511267007,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,1.2286551339285714,1.1754887794961735,1.2808354591836735,0.5309045493197279,0.4914939413265307,0.574262927827381,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,1.2052973533163265,1.151763293207908,1.2571876992984692,0.6187619579081632,0.5742576132015306,0.6645484561011904,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,0.9216358418367347,0.872184909119898,0.9681521045918368,0.5475326849489796,0.5103218338116496,0.5849391807504252,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,0.8977997448979592,0.8475117586096939,0.9451007453762755,0.6938509778911566,0.6478610291772959,0.7417081871811225,392
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.8438895089285714,0.7911127830038265,0.8919413663903062,0.48525191326530615,0.4480153194090136,0.5240903685693027,392
