model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,18,False,-0.050741419500234176,-0.06701024466631364,-0.03447397521563939,0.16988462006964652,0.15924233325890133,0.18119774464847277,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,19,False,-0.08332367332614198,-0.09835961771254637,-0.06799992237772261,0.209084592708925,0.198594938451741,0.21935179053115197,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,20,False,-0.1455277107199844,-0.15960452288997415,-0.1312205767753173,0.6327519903377611,0.6191443061747518,0.6471076625139535,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,21,False,-0.36919680176949016,-0.38559507405271337,-0.35278523016949087,0.17741913698157485,0.1676755314781552,0.18834449476530762,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,22,False,-0.385122688449159,-0.40148417937512304,-0.36877180064211085,0.23881138263105534,0.22833360672808015,0.2502778403004821,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,23,False,-0.7549560459292665,-0.7778067020737395,-0.7327677606319896,0.1237520660672869,0.11576662108200747,0.13212133204044937,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,24,False,-0.4357276595368677,-0.44937872649455557,-0.4222749980736752,0.054445866013870754,0.05069504992491534,0.05854431593499216,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,25,False,-0.40970958738910906,-0.4219191000169637,-0.3972424805164337,0.132655660311381,0.12676385787068578,0.13880037201099657,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,26,False,-0.25196339889448516,-0.26034108376016424,-0.24321209989031967,0.09432797853638525,0.09021829159892336,0.0986223124322437,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,27,False,-0.2509077154860205,-0.2591034756631267,-0.2421748129080753,0.20162885691843876,0.19708139717984363,0.20640132163657626,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,28,False,-0.06120619725207893,-0.06720865192461987,-0.055623610530580805,0.02093138905609546,0.01948337934049619,0.022473222828235755,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,29,False,-0.012895455165785186,-0.014761042838193931,-0.010968499950000219,0.04966886351708651,0.047731980681419366,0.05164260337141906,392
