model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
qwen25_3b,overall,ALL,SS+SP+PS+PP,distractor,1+,0.5808688790457589,0.560995641217913,0.6009445212227957,-0.002631870814732143,-0.003792542375837054,-0.0013783682686941971,0.5782370082310268,29,6400
qwen25_3b,overall,ALL,SS+SP+PS+PP,final,1+,2.028429469517299,1.9987330825805663,2.059900626700265,-0.014552699497767859,-0.01747562255859375,-0.011609755161830358,2.013876770019531,33,6400
qwen25_3b,overall,ALL,SS+SP+PS+PP,subject,1+,2.7004976981026783,2.6308106994628906,2.775451202392578,-0.004717738560267857,-0.005750525774274553,-0.0036628452845982144,2.6957799595424103,2,6400
qwen25_3b,by_anchor,at work,PP,distractor,1+,0.03622209821428571,0.01987396763392857,0.0510484375,-0.017184151785714287,-0.024377483258928575,-0.010957784598214289,0.01903794642857142,33,200
qwen25_3b,by_anchor,at work,PP,final,1+,1.08776171875,1.049563462611607,1.1237197963169643,-0.07911607142857142,-0.09047212611607143,-0.06726741071428571,1.0086456473214285,33,200
qwen25_3b,by_anchor,at work,PP,subject,1+,0.1228404017857143,0.1103422154017857,0.13566715959821427,-0.010539062499999998,-0.015430217633928572,-0.005462890625000002,0.1123013392857143,33,200
qwen25_3b,by_anchor,at work,PS,distractor,1+,0.22345535714285714,0.1893637276785714,0.26,-0.022918526785714287,-0.028982952008928572,-0.01735401785714286,0.20053683035714284,33,200
qwen25_3b,by_anchor,at work,PS,final,1+,1.135703404017857,1.0976403878348218,1.1730330496651786,-0.08761607142857145,-0.09763928571428573,-0.07780259486607143,1.0480873325892857,33,200
qwen25_3b,by_anchor,at work,PS,subject,1+,0.16505803571428573,0.15198482142857142,0.18034799107142854,-0.008387276785714286,-0.013488950892857142,-0.0035086216517857143,0.15667075892857144,33,200
qwen25_3b,by_anchor,at work,SP,distractor,1+,0.24112723214285714,0.22479042968750002,0.2585075334821429,0.02778459821428571,0.019752762276785716,0.03662433035714286,0.21334263392857142,29,200
qwen25_3b,by_anchor,at work,SP,final,1+,1.8265775669642859,1.7623476981026787,1.89703974609375,0.02485491071428571,0.013883342633928571,0.03504520089285714,1.8017226562500002,34,200
qwen25_3b,by_anchor,at work,SP,subject,1+,3.635255580357143,3.4770902343750003,3.7951465122767853,-0.01169642857142857,-0.016506919642857144,-0.0065300502232142855,3.6235591517857144,1,200
qwen25_3b,by_anchor,at work,SS,distractor,1+,1.3636674107142859,1.2840791015625002,1.440518666294643,0.014583705357142858,0.009049079241071428,0.02000560825892857,1.349083705357143,29,200
qwen25_3b,by_anchor,at work,SS,final,1+,3.020806361607143,2.9350979492187497,3.110818470982143,0.08727232142857141,0.07338443080357143,0.10106662946428573,2.933534040178572,34,200
qwen25_3b,by_anchor,at work,SS,subject,1+,4.874234375,4.6862459542410715,5.069667271205357,0.010202008928571428,0.005908733258928571,0.014605022321428572,4.864032366071429,1,200
qwen25_3b,by_anchor,in charge,PP,distractor,1+,-0.017728794642857138,-0.03257979910714286,-0.0025484375,-0.017878348214285716,-0.023114257812499997,-0.012586049107142859,-0.03560714285714285,33,200
qwen25_3b,by_anchor,in charge,PP,final,1+,0.9741886160714285,0.9484558244977678,1.0009545131138393,-0.16078683035714283,-0.17043903459821427,-0.1495259207589286,0.8134017857142857,33,200
qwen25_3b,by_anchor,in charge,PP,subject,1+,0.13981919642857144,0.12254020647321429,0.15804394531249996,-0.023560267857142856,-0.02890131138392857,-0.01811782924107143,0.11625892857142858,33,200
qwen25_3b,by_anchor,in charge,PS,distractor,1+,0.4850424107142857,0.4416115513392857,0.5291944754464285,-0.03414732142857143,-0.040497851562500006,-0.02770705915178571,0.4508950892857143,1,200
qwen25_3b,by_anchor,in charge,PS,final,1+,1.6225304129464286,1.556584068080357,1.6877180733816963,-0.10797209821428573,-0.11803289620535713,-0.09750574776785714,1.5145583147321429,33,200
