model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
phi2,overall,ALL,SS+SP+PS+PP,distractor,1+,0.666657769860279,0.6525403024867897,0.6799490401571797,-0.0013864956483725576,-0.0019480043731389509,-0.0007997124586254362,0.6652712742119065,23,6400
phi2,overall,ALL,SS+SP+PS+PP,final,1+,3.2821010327387246,3.24811366244748,3.31765319373044,0.03163925249249704,0.02999682869095235,0.03337193630924148,3.2504617802462277,30,6400
phi2,overall,ALL,SS+SP+PS+PP,subject,1+,1.8790317943259596,1.8374123207066329,1.9255556603668318,-0.00604573822309894,-0.006355884194674512,-0.0057263384268528995,1.8729860561028606,19,6400
phi2,by_anchor,at work,PP,distractor,1+,0.15297522206460276,0.14397583320063928,0.16140664408860667,0.018073549732085196,0.015438076673015473,0.020871286795985308,0.13490167233251757,23,200
phi2,by_anchor,at work,PP,final,1+,2.086489505614004,2.0569542206333526,2.116432718732665,0.0624566973409345,0.05051560308471802,0.07378897009934149,2.0240328082730694,30,200
phi2,by_anchor,at work,PP,subject,1+,0.17964472955273045,0.17332339776715922,0.1859472423349657,-0.013682776112710276,-0.014808410033102959,-0.012487409011010201,0.16596195344002018,27,200
phi2,by_anchor,at work,PS,distractor,1+,0.3504456318578413,0.3267132135245108,0.3747372444252814,0.006288254799381379,0.004326346608900256,0.008323396159756568,0.3441573770584599,25,200
phi2,by_anchor,at work,PS,final,1+,2.128234703925348,2.094783893156436,2.161830449040859,0.06856122401452834,0.05798715103441669,0.07821180722021287,2.05967347991082,30,200
phi2,by_anchor,at work,PS,subject,1+,0.2532686190451345,0.2455948950898263,0.2611262388575462,-0.010395683626974784,-0.011908869466473978,-0.00898865431354892,0.24287293541815969,19,200
phi2,by_anchor,at work,SP,distractor,1+,0.6033124219217608,0.582621878420153,0.6263284273916674,-0.008915080870351484,-0.011587690757166955,-0.006024914210842502,0.5943973410514093,23,200
