model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
llama32_3b,overall,ALL,SS+SP+PS+PP,distractor,1+,0.49348678023726855,0.4826917046440973,0.5046812269422742,0.0020591905381944445,0.0015488501654730904,0.002516739456741898,0.49142758969907413,20,6400
llama32_3b,overall,ALL,SS+SP+PS+PP,final,1+,2.735191661693432,2.711602761727792,2.7591970043888803,0.04350906937210649,0.042410509462709786,0.044548178778754347,2.6916825923213255,27,6400
llama32_3b,overall,ALL,SS+SP+PS+PP,subject,1+,1.656788330078125,1.6161337263319229,1.6982208969681354,-0.005154396339699075,-0.005559617219147859,-0.004711358529550057,1.6516339337384258,1,6400
llama32_3b,by_anchor,at work,PP,distractor,1+,0.05480613425925926,0.04854430700231482,0.061336986400462964,0.006344039351851852,0.0049301938657407415,0.007762080439814814,0.04846209490740741,19,200
llama32_3b,by_anchor,at work,PP,final,1+,1.8426236979166668,1.8076235713252315,1.8789973506221065,0.11207175925925926,0.10823538773148149,0.11598582175925926,1.7305519386574075,27,200
llama32_3b,by_anchor,at work,PP,subject,1+,0.1613527199074074,0.15368627025462964,0.16875774016203707,-0.0166015625,-0.01792549189814815,-0.015315321180555555,0.1447511574074074,22,200
llama32_3b,by_anchor,at work,PS,distractor,1+,0.2168894675925926,0.20340708188657408,0.23247996238425922,0.005274884259259258,0.0036052517361111116,0.00669437210648148,0.21161458333333333,19,200
llama32_3b,by_anchor,at work,PS,final,1+,1.8509613715277777,1.8094466688368056,1.8972404423466436,0.09908564814814814,0.094955078125,0.10284657118055555,1.7518757233796296,27,200
llama32_3b,by_anchor,at work,PS,subject,1+,0.18205005787037037,0.17496314380787037,0.18953273292824072,-0.01981915509259259,-0.02121979890046296,-0.018379195601851854,0.1622309027777778,22,200
llama32_3b,by_anchor,at work,SP,distractor,1+,0.3313498263888889,0.3158401331018519,0.34702785011574067,-0.009541377314814813,-0.011219654224537037,-0.00785257523148148,0.3218084490740741,20,200
llama32_3b,by_anchor,at work,SP,final,1+,2.537245370370371,2.498274793836806,2.578266022858796,0.0025651041666666665,0.0001901041666666667,0.004909396701388888,2.5346802662037042,27,200
llama32_3b,by_anchor,at work,SP,subject,1+,2.022336516203704,1.9410374348958337,2.108893916377315,0.00970630787037037,0.008403826678240741,0.010953559027777776,2.0126302083333334,1,200
llama32_3b,by_anchor,at work,SS,distractor,1+,1.004458912037037,0.9678284143518517,1.0456419994212964,0.0019039351851851854,0.0005424623842592591,0.0033190104166666667,1.0025549768518518,20,200
llama32_3b,by_anchor,at work,SS,final,1+,3.536863425925926,3.4946997612847226,3.57791576244213,0.0027488425925925927,-0.000396629050925926,0.00572052228009259,3.5341145833333334,27,200
