model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
llama32_3b,extra_long,distractor,1+,0.12150752314814817,0.11266731770833335,0.1316470630787037,-0.0038194444444444448,-0.005770037615740741,-0.0018197337962962963,0.11768807870370372,19,100
llama32_3b,extra_long,final,1+,2.254988425925926,2.2286488715277777,2.282186414930556,0.001119791666666667,-0.0009145688657407407,0.00307154224537037,2.2538686342592595,27,100
llama32_3b,extra_long,subject,1+,1.4330844907407407,1.3693450520833332,1.5004680989583332,0.003987268518518519,0.0027169415509259256,0.005194082754629628,1.4290972222222222,1,100
llama32_3b,long,distractor,1+,0.19962673611111115,0.1852978877314815,0.2139753327546296,-0.0061400462962962945,-0.008350911458333334,-0.003826027199074076,0.19348668981481484,19,100
llama32_3b,long,final,1+,3.1702459490740744,3.0887104311342592,3.244892650462963,-0.006597222222222221,-0.010230179398148149,-0.0029686776620370357,3.1636487268518523,27,100
llama32_3b,long,subject,1+,1.8479369212962962,1.7807884114583334,1.9104173900462962,0.006605902777777778,0.004861038773148148,0.00808470775462963,1.8413310185185183,1,100
llama32_3b,medium,distractor,1+,0.22747685185185187,0.20323111979166666,0.2521789641203704,-0.006111111111111111,-0.008742766203703704,-0.003121889467592593,0.22136574074074075,19,100
llama32_3b,medium,final,1+,3.002792245370371,2.8842067418981485,3.122191478587963,-0.036342592592592586,-0.04039699074074073,-0.032175636574074074,2.9664496527777784,27,100
llama32_3b,medium,subject,1+,1.7156712962962966,1.6104246961805557,1.8243138020833334,0.007453703703703702,0.005682581018518519,0.0090859375,1.7082175925925929,1,100
llama32_3b,short,distractor,1+,2.7007606336805554,2.653368245442709,2.7508117314091436,-0.013498263888888888,-0.018750578703703703,-0.008246419270833333,2.6872623697916667,27,100
llama32_3b,short,final,1+,2.7007606336805554,2.653368245442709,2.7508117314091436,-0.013498263888888888,-0.018750578703703703,-0.008246419270833333,2.6872623697916667,27,100
llama32_3b,short,subject,1+,2.9310763888888887,2.795307581018518,3.083787181712963,0.002679398148148148,0.0004913194444444446,0.004800491898148148,2.9283969907407403,1,100
