model_tag,n_layers,source_auc_subject_only,source_auc_of_only,source_auc_combined,final_auc,source_final_ratio_combined,source_final_ratio_subject_only,final_onset_layer,final_onset_threshold,final_onset_at_1.0,final_onset_at_2.0,subject_mean_per_layer,of_mean_per_layer,final_mean_per_layer,subject_peak_layer,of_peak_layer,final_peak_layer,subject_peak_value,of_peak_value,final_peak_value
phi2,31,87.5346851901004,93.38268183439205,180.9173670244925,100.71875203031524,1.7962629935092758,0.8691001767352461,15,1.5,12,15,2.8236995222613035,3.0123445753029694,3.248992000977911,1,4,30,4.355735788847271,5.163244780516013,8.62803868782896
llama32_3b,27,83.99356971153844,64.29981971153846,148.29338942307695,84.95880093232044,1.7454741332944408,0.9886388318786311,13,1.5,13,13,3.1108729522792014,2.381474804131054,3.146622256752609,1,1,27,6.3094951923076925,4.950540865384616,12.14245942679558
qwen25_3b,35,168.92940705128206,100.8940905448718,269.82349759615386,45.23951139502762,5.964332709964033,3.7341121033824756,28,1.5,26,29,4.826554487179488,2.8826883012820517,1.2925574684293606,1,6,34,7.557011217948718,4.433173076923077,8.174248964088397
