model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.23060571409668712,0.21337682395447546,0.24707007716759954,0.30711464735926414,0.2996609103543627,0.3155886279966372,-0.07650893326257702,1,1.3554715453361978,392
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.3402428789465266,0.3275803148040181,0.3540813513791742,0.3658598518329727,0.3570632270960162,0.37477242259346716,-0.0256169728864461,1,0.8831603381098533,392
phi2,dist_pl_to_sg,distractor_patch,1+,0.4203889939720651,0.40347490124477997,0.4373084619356819,0.30711464735926414,0.2996609103543627,0.3155886279966372,0.11327434661280095,1,1.3547430087109,392
phi2,dist_sg_to_pl,distractor_patch,1+,1.1892491223546844,1.165692620292316,1.2118517924426337,0.8638752072375936,0.8409213679321298,0.8873730659923037,0.3253739151170908,1,3.845902447797814,392
phi2,same_num_SP_to_PS_dist,same_number_control,1+,0.23060571409668712,0.21337682395447546,0.24707007716759954,0.30711464735926414,0.2996609103543627,0.3155886279966372,-0.07650893326257702,1,1.3554715453361978,392
phi2,same_num_SS_to_PP_subj,same_number_control,1+,1.1528931516342213,1.1142484471918015,1.1897490626420528,0.7168638463969396,0.6941530152949318,0.7400052801327196,0.4360293052372818,1,1.713380054551728,392
phi2,self_patch_SP,self_patch,1+,0.0,0.0,0.0,0.8638752072375936,0.8409213679321298,0.8873730659923037,-0.8638752072375936,1,0.0,392
phi2,self_patch_SS,self_patch,1+,0.0,0.0,0.0,0.7238755115480152,0.7097482836276574,0.7380710579669081,-0.7238755115480152,1,0.0,392
phi2,subj_pl_to_sg,subject_patch,1+,3.772286953072237,3.7095045881042994,3.8314442547804597,0.7238755115480152,0.7097482836276574,0.7380710579669081,3.048411441524222,1,5.340062192508152,392
phi2,subj_sg_to_pl,subject_patch,1+,1.8702673297559376,1.8154990726764302,1.926620762935981,1.1085023381402939,1.0751670483783433,1.1443681733046338,0.7617649916156437,1,2.8849041024032904,392
