model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.349604819606414,0.32336491265032796,0.3746520960504738,0.5358664168792516,0.5197544381871052,0.5530581495991254,-0.18626159727283764,1,1.3228834502551021,392
qwen25_3b,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.499959001457726,0.4791900083135933,0.519701465128462,0.7385516315901361,0.7185502910706694,0.7579640736037718,-0.23859263013241017,1,1.3446069834183674,392
qwen25_3b,dist_pl_to_sg,distractor_patch,1+,0.5168498314504373,0.49048788265306126,0.543255213078535,0.5358664168792516,0.5197544381871052,0.5530581495991254,-0.019016585428814348,1,1.3314732142857142,392
qwen25_3b,dist_sg_to_pl,distractor_patch,1+,1.287256855867347,1.2429784729181852,1.330279629988156,0.956960831207483,0.9291343269311072,0.9853865429402787,0.33029602465986396,1,3.298848054846939,392
qwen25_3b,same_num_SP_to_PS_dist,same_number_control,1+,0.349604819606414,0.32336491265032796,0.3746520960504738,0.5358664168792516,0.5197544381871052,0.5530581495991254,-0.18626159727283764,1,1.3228834502551021,392
qwen25_3b,same_num_SS_to_PP_subj,same_number_control,1+,3.5837845071064143,3.485126654177296,3.6870092702259476,1.7243703591927841,1.6749139706803484,1.7743590051115312,1.8594141479136301,1,6.152562978316326,392
qwen25_3b,self_patch_SP,self_patch,1+,0.0,0.0,0.0,0.956960831207483,0.9291343269311072,0.9853865429402787,-0.956960831207483,1,0.0,392
qwen25_3b,self_patch_SS,self_patch,1+,0.0,0.0,0.0,1.3948847675230809,1.353812370930515,1.4340910091715258,-1.3948847675230809,1,0.0,392
qwen25_3b,subj_pl_to_sg,subject_patch,1+,6.01967759201895,5.914406161739249,6.126177384179118,1.3948847675230809,1.353812370930515,1.4340910091715258,4.624792824495869,1,8.861367984693878,392
qwen25_3b,subj_sg_to_pl,subject_patch,1+,3.9467075892857144,3.8397928577122817,4.05740711267766,1.802486580569728,1.7467093378925231,1.8589260374908891,2.144221008715986,1,7.514409279336735,392
