model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.35706313775510207,0.337670861530376,0.3763687929598923,0.34981187208679776,0.3381293894872764,0.3615122853973765,0.0072512656683043075,1,1.897122130102041,392
llama32_3b,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.6079341458805744,0.5908751933933296,0.625738087118528,0.5834342128054925,0.567998527897849,0.5987267964911659,0.024499933075081914,1,1.9342912946428572,392
llama32_3b,dist_pl_to_sg,distractor_patch,1+,0.5488104095804989,0.5299272855843726,0.5683179098462301,0.34981187208679776,0.3381293894872764,0.3615122853973765,0.1989985374937011,1,1.8786870216836735,392
llama32_3b,dist_sg_to_pl,distractor_patch,1+,0.8181349796863189,0.7949210261361489,0.8411013602489606,0.5264087695263291,0.5035551340761999,0.5488012750673186,0.2917262101599898,2,2.4577885841836733,392
llama32_3b,same_num_SP_to_PS_dist,same_number_control,1+,0.35706313775510207,0.337670861530376,0.3763687929598923,0.34981187208679776,0.3381293894872764,0.3615122853973765,0.0072512656683043075,1,1.897122130102041,392
llama32_3b,same_num_SS_to_PP_subj,same_number_control,1+,1.9095303051776265,1.8590851868090987,1.9606281075798375,1.1196528958805745,1.0979912498130038,1.1413014153143894,0.789877409297052,2,3.5823700573979593,392
llama32_3b,self_patch_SP,self_patch,1+,0.0,0.0,0.0,0.5264087695263291,0.5035551340761999,0.5488012750673186,-0.5264087695263291,1,0.0,392
llama32_3b,self_patch_SS,self_patch,1+,0.0,0.0,0.0,0.7186385404856387,0.6973482046898621,0.73988192426855,-0.7186385404856387,1,0.0,392
llama32_3b,subj_pl_to_sg,subject_patch,1+,3.6269368858654576,3.5627700863331446,3.690439892319775,0.7186385404856387,0.6973482046898621,0.73988192426855,2.908298345379819,1,6.7212213010204085,392
llama32_3b,subj_sg_to_pl,subject_patch,1+,2.244511172524565,2.1945926265471467,2.2955182203089572,1.2410335372574957,1.2193401879704429,1.2630649434976537,1.0034776352670693,2,4.141521843112245,392
