model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
llama32_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.3618092651946819,0.34162422839506174,0.38263677439458693,0.37139200498575503,0.3586598001246438,0.3842437096885881,-0.009582739791073158,1,2.0044871794871795,390
llama32_3b,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.66970189339981,0.6514489293981481,0.6886632500890313,0.6788083155270654,0.6607814478474201,0.6963157719017093,-0.009106422127255431,1,2.0968149038461537,390
llama32_3b,dist_pl_to_sg,distractor_patch,1+,0.5627455781101615,0.542780281784188,0.5831488715277777,0.37139200498575503,0.3586598001246438,0.3842437096885881,0.19135357312440643,1,1.9829927884615384,390
llama32_3b,dist_sg_to_pl,distractor_patch,1+,0.8377811906457739,0.813227182009734,0.861724388651472,0.5237026155428933,0.5014772710410732,0.5464573564616969,0.3140785751028806,2,2.527083333333333,390
llama32_3b,same_num_SP_to_PS_dist,same_number_control,1+,0.3618092651946819,0.34162422839506174,0.38263677439458693,0.37139200498575503,0.3586598001246438,0.3842437096885881,-0.009582739791073158,1,2.0044871794871795,390
llama32_3b,same_num_SS_to_PP_subj,same_number_control,1+,2.0163647020417854,1.9638234323065054,2.0664122967117757,1.201568435422602,1.17996950058365,1.2237010884081196,0.8147962666191835,2,3.703926282051282,390
llama32_3b,self_patch_SP,self_patch,1+,0.0,0.0,0.0,0.5237026155428933,0.5014772710410732,0.5464573564616969,-0.5237026155428933,1,0.0,390
llama32_3b,self_patch_SS,self_patch,1+,0.0,0.0,0.0,0.7486378205128205,0.7276455167774611,0.7687854765155112,-0.7486378205128205,1,0.0,390
llama32_3b,subj_pl_to_sg,subject_patch,1+,3.7294678893637223,3.6641610465633905,3.792308285849952,0.7486378205128205,0.7276455167774611,0.7687854765155112,2.980830068850902,1,6.818169070512821,390
llama32_3b,subj_sg_to_pl,subject_patch,1+,2.206094195156695,2.157333158980294,2.2535054234924026,1.230701962646407,1.2096199660197056,1.2535895333768596,0.975392232510288,2,4.061758814102564,390
