model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.23406413467192674,0.21601778286365167,0.2516653523236094,0.3576986827171963,0.3491288562185153,0.3672774715452507,-0.12363454804526955,1,1.4852844409453563,390
phi2,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.3855230485239337,0.3716529173018816,0.4005471810809436,0.43686005700413505,0.42781474268203085,0.446574348368065,-0.05133700848020134,1,1.0215275006416515,390
phi2,dist_pl_to_sg,distractor_patch,1+,0.4525770300178118,0.4345888552042549,0.4705871407782568,0.3576986827171963,0.3491288562185153,0.3672774715452507,0.0948783473006155,1,1.4844603049449432,390
phi2,dist_sg_to_pl,distractor_patch,1+,1.282255199470236,1.2568738908645434,1.3073008516822797,0.9400315911046132,0.9160181051001327,0.9639695264558867,0.3422236083656228,1,4.140684196276543,390
phi2,same_num_SP_to_PS_dist,same_number_control,1+,0.23406413467192674,0.21601778286365167,0.2516653523236094,0.3576986827171963,0.3491288562185153,0.3672774715452507,-0.12363454804526955,1,1.4852844409453563,390
phi2,same_num_SS_to_PP_subj,same_number_control,1+,1.225890891072768,1.1845791244526558,1.2694337791958756,0.7870451021102429,0.761571927277681,0.8124284095963993,0.438845788962525,1,1.8541738412319086,390
phi2,self_patch_SP,self_patch,1+,0.0,0.0,0.0,0.9400315911046132,0.9160181051001327,0.9639695264558867,-0.9400315911046132,1,0.0,390
phi2,self_patch_SS,self_patch,1+,0.0,0.0,0.0,0.7356277375369812,0.7193557011203592,0.752353667990051,-0.7356277375369812,1,0.0,390
phi2,subj_pl_to_sg,subject_patch,1+,4.1040573676230006,4.041185461727423,4.1664206852392285,0.7356277375369812,0.7193557011203592,0.752353667990051,3.3684296300860193,1,5.823257209093143,390
phi2,subj_sg_to_pl,subject_patch,1+,1.9794017794903296,1.9225029234239341,2.038575198344695,1.2016850387093643,1.1649215561922242,1.2393649852312003,0.7777167407809653,1,3.070137290465526,390
