model_tag,distance_bucket,subject_effect,final_effect,subject_final_ratio,pattern
phi2,extra_long,1.508481060458768,2.5507918843915385,0.5913775520806938,final-integrated
phi2,long,1.9052111013473998,3.8656609218351305,0.4928552037727474,final-integrated
phi2,medium,2.1559554684546685,5.093290971632927,0.4232932067816777,final-integrated
phi2,short,2.843518010723975,3.1937356328964235,0.8903423255935453,final-integrated
