model_tag,distance_bucket,subject_effect,final_effect,subject_final_ratio,pattern
qwen25_3b,extra_long,2.82465625,1.5332008928571426,1.842326249064603,source-localized
qwen25_3b,long,3.7159709821428577,2.0760915178571424,1.7898878494423658,source-localized
qwen25_3b,medium,3.6601004464285705,2.4974620535714287,1.4655279511432584,source-localized
qwen25_3b,short,4.488589285714286,1.68987109375,2.656172593469031,source-localized
