model_tag,n_layers,source_auc_subject_only,source_auc_of_only,source_auc_combined,final_auc,source_final_ratio_combined,source_final_ratio_subject_only,final_onset_layer,final_onset_threshold,final_onset_at_1.0,final_onset_at_2.0,subject_mean_per_layer,of_mean_per_layer,final_mean_per_layer,subject_peak_layer,of_peak_layer,final_peak_layer,subject_peak_value,of_peak_value,final_peak_value
phi2,31,85.09857427137685,90.66149795298674,175.76007222436354,99.63440356742251,1.7640500262083354,0.8541083323070301,15,1.5,12,15,2.7451152990766725,2.924564450096346,3.214013018303952,1,4,30,4.25530069660766,4.981921025684902,8.481639536944302
llama32_3b,27,84.06788105867348,64.82471699617346,148.89259805484696,86.30967465753425,1.7250974313787388,0.9740261609401737,13,1.5,13,13,3.113625224395314,2.4009154443027207,3.196654616945713,1,1,27,6.322126116071429,4.995655293367347,11.378167808219178
qwen25_3b,35,155.93305564413268,93.94604990433673,249.87910554846937,42.15642123287672,5.927426907709021,3.698915872928143,28,1.5,26,29,4.455230161260934,2.684172854409621,1.204469178082192,1,6,34,6.89421237244898,4.086555325255102,7.431506849315069
