model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
llama32_3b,distractor,distractor,0,True,-1.0,2.5870392628205128,2.513015324519231,2.659735076121795,-0.0008814102564102564,-0.001983173076923077,0.0001607572115384588,0.0037927350427350423,-0.0021574519230769234,0.009637419871794861,390
llama32_3b,distractor,distractor,0,True,1.0,-0.061578525641025644,-0.0756034655448718,-0.04749499198717949,-0.0023237179487179487,-0.0033653846153846156,-0.0012419871794871794,-0.009702190170940171,-0.015625166933760683,-0.0038050881410256463,390
llama32_3b,distractor,distractor,1,False,-1.0,2.5517828525641026,2.478816105769231,2.6240414663461538,0.006670673076923077,0.005428685897435897,0.007992788461538461,-0.0125133547008547,-0.019466813568376068,-0.005752871260683776,390
llama32_3b,distractor,distractor,1,False,1.0,-0.05344551282051282,-0.06993389423076923,-0.0372135416666667,0.005228365384615384,0.003945813301282051,0.006490885416666664,-0.015912126068376067,-0.023031016292735042,-0.00936832264957265,390
llama32_3b,distractor,distractor,2,False,-1.0,2.5502203525641027,2.476945112179487,2.622823517628205,-0.0011217948717948717,-0.0021033653846153845,-0.000179787660256413,0.02485309829059829,0.01884198050213675,0.030937333066239314,390
llama32_3b,distractor,distractor,2,False,1.0,0.017768429487179487,-0.00024088541666666665,0.03578425480769227,-0.0026041666666666665,-0.00372646233974359,-0.0014823717948717948,-0.021127136752136753,-0.027091179220085474,-0.015003505608974363,390
llama32_3b,distractor,distractor,3,False,-1.0,2.3073517628205127,2.2329672475961537,2.3807171474358975,-0.003405448717948718,-0.004647435897435897,-0.0021429286858974388,-0.012459935897435898,-0.018263388087606837,-0.006035156250000005,390
llama32_3b,distractor,distractor,3,False,1.0,-0.05811298076923077,-0.07405949519230769,-0.041503405448717966,-0.004346955128205128,-0.00562900641025641,-0.0030849358974358973,-0.031737446581196586,-0.037346921741452994,-0.02630191639957265,390
llama32_3b,distractor,distractor,4,False,-1.0,2.0467347756410255,1.973944811698718,2.1211458333333333,0.0019030448717948718,0.0006009615384615385,0.0032251602564102562,0.006336805555555556,-0.00012703659188034229,0.01274739583333333,390
llama32_3b,distractor,distractor,4,False,1.0,-0.06668669871794872,-0.08383413461538461,-0.0498377403846154,-4.0064102564102564e-05,-0.0013621794871794871,0.0012419871794871794,-0.0029313568376068376,-0.008741319444444444,0.0030784254807692296,390
