model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
phi2,distractor,distractor,5,False,-1.0,3.1290805180867514,3.0593634495368374,3.195924243132273,-0.0010867558992826022,-0.001909638123634534,-0.00026014578648102596,0.021233285594190285,0.013732240098154444,0.029190091638483538,390
phi2,distractor,distractor,5,False,1.0,-0.14201179162049904,-0.1656068673500648,-0.11771915992101036,-0.0010571479797363281,-0.0018616300362807054,-0.00023014741066174635,0.0033565627204047302,-0.004757015256800203,0.011429147699959256,390
phi2,distractor,distractor,6,False,-1.0,2.8120014435205705,2.7447731744937407,2.880598447873042,-0.00501104012513772,-0.00600620061923296,-0.004022718209486743,0.020231751499013004,0.01279345082421588,0.027574363651438654,390
phi2,distractor,distractor,6,False,1.0,0.06089863410362831,0.039677630815750514,0.0824136516986749,-0.005132149427365034,-0.006095030919099465,-0.0041919587208674525,0.03411249503111228,0.02725123085527338,0.04102963549459082,390
phi2,distractor,distractor,7,False,-1.0,2.4025529934809757,2.3387108218975556,2.4654751095404994,0.007015428787622696,0.006003088400914119,0.008007068817432109,-0.06707106044149806,-0.07410947652963491,-0.059998482740842386,390
phi2,distractor,distractor,7,False,1.0,-0.007421219654572315,-0.024905952612559002,0.010895019127772396,0.007120800018310547,0.006091832381028396,0.008121805191040037,-0.044057393685365334,-0.05056448365888024,-0.03755273810818664,390
phi2,distractor,distractor,8,False,-1.0,2.2819868283394054,2.222151497694162,2.3426499253052935,-0.002839017525697366,-0.00371595731148353,-0.001966253977555495,-0.029252981528257713,-0.03549769207962558,-0.023498069180382636,390
phi2,distractor,distractor,8,False,1.0,-0.12831102517934945,-0.14377237075414415,-0.11241634448369345,-0.0030443582779321916,-0.003903937523181622,-0.0021662718821794567,-0.005087897308871278,-0.010302598659808818,-0.00012965721961779626,390
phi2,distractor,distractor,9,False,-1.0,2.195548519721398,2.1391733625607614,2.2523472917996923,0.009934757917355269,0.008819843866886235,0.011062705027751432,-0.07568336878067408,-0.08105983615940453,-0.0705525522150545,390
phi2,distractor,distractor,9,False,1.0,0.21144254391009992,0.18680673366937883,0.23806329653813288,0.009652338272485978,0.008547398188175298,0.010787986792050874,-0.07482992726513463,-0.08039073972620515,-0.06917027585526818,390
phi2,distractor,distractor,10,False,-1.0,2.1089278514568623,2.053801422485938,2.163067054870801,0.006086525550255409,0.004881479434477977,0.007288572849371493,0.04755903146205805,0.04244801610962958,0.05264460046067197,390
phi2,distractor,distractor,10,False,1.0,0.24320909059964693,0.21346959749857586,0.2759298518987802,0.005584486936911558,0.004409414376967992,0.006800597447615403,0.03045542627318293,0.026329600729494015,0.034712952650510345,390
phi2,distractor,distractor,11,False,-1.0,1.0618180935199444,1.0345567552859967,1.08853189040453,0.0014772366254757613,0.0010246589856270033,0.0019539870359958737,-0.006823863331069294,-0.010538561710944541,-0.003269107810452454,390
phi2,distractor,distractor,11,False,1.0,0.16466204080826197,0.15117770732977454,0.17798185556362836,0.0014047598227476463,0.0009572185614170173,0.0018764451222542003,0.023493237780709546,0.02008458257740379,0.026831994668031347,390
phi2,distractor,distractor,12,False,-1.0,1.0155851657573993,0.9891542962269906,1.0414339725787822,-0.00017388172638721955,-0.0007930855261973845,0.0004375668061085236,-0.02447091616117037,-0.028309821939875933,-0.020766186877193612,390
phi2,distractor,distractor,12,False,1.0,0.25549957324297,0.23872456544484846,0.272229575805175,-0.0007053301884577825,-0.001314393251370161,-0.00010585467020670613,-0.012476581182235326,-0.016077809293045957,-0.008887836158785044,390
phi2,distractor,distractor,13,False,-1.0,0.9589416601719001,0.9350420761108398,0.9826587551679367,-0.016002518091446313,-0.01651260522695688,-0.015476122697194419,0.0066801633590306995,0.003659875128004286,0.009688020669496976,390
phi2,distractor,distractor,13,False,1.0,0.19731067021687826,0.18326071659723916,0.2105573298992255,-0.016282299237373548,-0.016803917212364003,-0.015752622469877586,0.00024090872870551224,-0.0022483237788208533,0.0027202945896702946,390
phi2,distractor,distractor,14,False,-1.0,0.949484766446627,0.9273591468273066,0.9727181655932695,0.008336883936172877,0.007893605476770645,0.008796512347001295,0.004733198932093433,0.0023776553634904385,0.007093823159861764,390
phi2,distractor,distractor,14,False,1.0,0.19310498115343924,0.17995289888137425,0.20657182455062867,0.007971621782351763,0.007524053561381805,0.008428632051516801,0.0026588904551970655,0.0002690970999562841,0.005152220379593023,390
