model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
qwen25_3b,distractor,distractor,0,True,-1.0,3.703846153846154,3.5837725360576926,3.8195402644230767,0.0007612179487179487,-0.000641025641025641,0.0021839943910256384,0.059548611111111115,0.04726195245726495,0.07168135683760683,390
qwen25_3b,distractor,distractor,0,True,1.0,-0.0030048076923076925,-0.07215945512820512,0.057964743589743524,0.0016826923076923078,0.00038060897435897436,0.0030048076923076925,-0.002824519230769231,-0.012219718215811966,0.007345085470085471,390
qwen25_3b,distractor,distractor,1,False,-1.0,3.682391826923077,3.5604962940705125,3.7972636217948716,0.0034455128205128204,0.00158203125,0.005389623397435892,-0.005008012820512822,-0.015792601495726494,0.006016459668803419,390
qwen25_3b,distractor,distractor,1,False,1.0,-0.0312900641025641,-0.11604216746794872,0.04170823317307691,0.004507211538461538,0.002723858173076923,0.006350160256410256,-0.021127136752136753,-0.030638354700854704,-0.011110610309829065,390
qwen25_3b,distractor,distractor,2,False,-1.0,3.5922475961538463,3.4725150240384615,3.7035131209935894,-0.005709134615384615,-0.00747245592948718,-0.004026442307692307,-0.023070245726495728,-0.03269948584401709,-0.013118823450854713,390
qwen25_3b,distractor,distractor,2,False,1.0,0.12317708333333334,0.0813271233974359,0.16785957532051277,-0.004987980769230769,-0.006891025641025641,-0.0031049679487179485,-0.04541933760683761,-0.05583032852564103,-0.03516209268162393,390
qwen25_3b,distractor,distractor,3,False,-1.0,3.6049078525641027,3.4855684094551282,3.7175160256410256,-0.006830929487179487,-0.008653846153846154,-0.005008012820512821,0.00878071581196581,-0.001866653311965814,0.019664963942307694,390
qwen25_3b,distractor,distractor,3,False,1.0,0.06508413461538462,0.01958583733974359,0.11032502003205123,-0.006610576923076923,-0.008553685897435898,-0.004787159455128209,-0.023217147435897437,-0.03392327724358974,-0.011911892361111115,390
qwen25_3b,distractor,distractor,4,False,-1.0,3.505128205128205,3.390112680288462,3.616367688301282,0.003705929487179487,0.0014418068910256412,0.005809294871794872,0.01971821581196581,0.0078186765491453,0.032333066239316234,390
qwen25_3b,distractor,distractor,4,False,1.0,-0.046975160256410256,-0.0868399439102564,-0.006307091346153862,0.0033854166666666668,0.0010611979166666667,0.005729166666666666,0.01392895299145299,0.00216930422008547,0.025542200854700846,390
qwen25_3b,distractor,distractor,5,False,-1.0,3.514903846153846,3.402372796474359,3.6250706129807693,-0.0011818910256410256,-0.0025040064102564105,0.00018028846153846155,0.0014222756410256388,-0.01465728498931624,0.016175547542735026,390
qwen25_3b,distractor,distractor,5,False,1.0,-0.30512820512820515,-0.3597080328525641,-0.2526437299679487,-0.0008213141025641026,-0.0023237179487179487,0.0007612179487179487,-0.05384615384615385,-0.06868088942307693,-0.03816723424145299,390
qwen25_3b,distractor,distractor,6,False,-1.0,3.4678285256410257,3.3564322916666667,3.576854467147436,-0.007131410256410256,-0.009174679487179488,-0.005128205128205128,0.03631143162393163,0.023470052083333335,0.05025574252136752,390
qwen25_3b,distractor,distractor,6,False,1.0,-0.6153044871794872,-0.7317723357371795,-0.4998838141025643,-0.005649038461538461,-0.0075926482371794874,-0.0037860576923076923,0.0034121260683760667,-0.011518763354700857,0.018596921741452988,390
qwen25_3b,distractor,distractor,7,False,-1.0,2.8176482371794873,2.7167583133012823,2.9179166666666667,-0.007371794871794872,-0.009575320512820513,-0.005227864583333336,-0.0027510683760683763,-0.01679437099358974,0.010585436698717938,390
qwen25_3b,distractor,distractor,7,False,1.0,0.04234775641025641,-0.0012845552884615382,0.08327924679487175,-0.006750801282051282,-0.00891426282051282,-0.00450671073717949,0.009575320512820513,-0.0057446915064102546,0.025752370459401687,390
qwen25_3b,distractor,distractor,8,False,-1.0,2.7828525641025643,2.6831500400641026,2.884120592948718,-0.005528846153846154,-0.007612680288461539,-0.0034455128205128204,0.033179754273504274,0.017748063568376066,0.049280181623931614,390
qwen25_3b,distractor,distractor,8,False,1.0,-0.08643830128205128,-0.1215244391025641,-0.05190154246794873,-0.004447115384615384,-0.006350661057692308,-0.002383313301282054,0.047162126068376074,0.03220452724358974,0.06258997729700853,390
