model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
llama32_3b,be_present,extra_long,filler_after_distractor,11,0.3313628472222222,0.01840277777777778,100
llama32_3b,be_present,extra_long,filler_after_distractor,12,0.4164279513888889,0.013771701388888889,100
llama32_3b,be_present,extra_long,filler_after_distractor,13,0.5508420138888889,-0.01693142361111111,100
llama32_3b,be_present,extra_long,filler_after_distractor,14,0.573046875,-0.0040885416666666665,100
llama32_3b,be_present,extra_long,filler_after_distractor,15,0.63859375,0.01792534722222222,100
llama32_3b,be_present,extra_long,filler_after_distractor,16,0.5007508680555556,0.0018446180555555555,100
llama32_3b,be_present,extra_long,filler_after_distractor,17,0.4958637152777778,0.002816840277777778,100
llama32_3b,be_present,extra_long,filler_after_distractor,18,0.5120442708333334,-0.009774305555555555,100
llama32_3b,be_present,extra_long,filler_after_distractor,19,0.7104861111111112,0.019769965277777777,100
llama32_3b,be_present,extra_long,filler_after_distractor,20,0.6820008680555556,-0.0005902777777777778,100
llama32_3b,be_present,extra_long,filler_after_distractor,21,0.3008897569444444,-0.01822482638888889,100
llama32_3b,be_present,extra_long,filler_after_distractor,22,0.26793402777777775,-0.004670138888888889,100
llama32_3b,be_present,extra_long,filler_after_distractor,23,0.06717013888888888,-0.003576388888888889,100
llama32_3b,be_present,extra_long,filler_after_distractor,24,0.06751302083333334,0.0011631944444444443,100
llama32_3b,be_present,extra_long,filler_after_distractor,25,0.07552951388888889,0.0019618055555555556,100
llama32_3b,be_present,extra_long,filler_after_distractor,26,0.07848524305555556,0.004674479166666667,100
llama32_3b,be_present,extra_long,filler_after_distractor,27,0.0,0.0,100
llama32_3b,be_present,extra_long,final,1,0.152109375,-0.069375,100
llama32_3b,be_present,extra_long,final,2,0.1746875,-0.067109375,100
llama32_3b,be_present,extra_long,final,3,0.300078125,0.048125,100
llama32_3b,be_present,extra_long,final,4,0.346875,-0.055390625,100
llama32_3b,be_present,extra_long,final,5,0.261953125,-0.039921875,100
