model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
qwen25_3b,be_present,extra_long,distractor,29,0.244765625,0.0375,100
qwen25_3b,be_present,extra_long,distractor,30,0.1034375,-0.011484375,100
qwen25_3b,be_present,extra_long,distractor,31,0.104375,-0.002109375,100
qwen25_3b,be_present,extra_long,distractor,32,0.023359375,-0.00375,100
qwen25_3b,be_present,extra_long,distractor,33,0.0228125,0.0040625,100
qwen25_3b,be_present,extra_long,distractor,34,0.01796875,-0.000625,100
qwen25_3b,be_present,extra_long,distractor,35,0.0,0.0,100
qwen25_3b,be_present,extra_long,filler_after_distractor,1,0.1347265625,0.018133680555555556,100
qwen25_3b,be_present,extra_long,filler_after_distractor,2,0.09447916666666667,-0.0012760416666666666,100
qwen25_3b,be_present,extra_long,filler_after_distractor,3,0.10917100694444444,0.014123263888888888,100
qwen25_3b,be_present,extra_long,filler_after_distractor,4,0.057530381944444445,-0.028932291666666665,100
qwen25_3b,be_present,extra_long,filler_after_distractor,5,0.02730902777777778,0.01921440972222222,100
qwen25_3b,be_present,extra_long,filler_after_distractor,6,0.16782118055555556,-0.008736979166666667,100
qwen25_3b,be_present,extra_long,filler_after_distractor,7,0.17203993055555555,-0.04502604166666667,100
qwen25_3b,be_present,extra_long,filler_after_distractor,8,0.19338107638888888,0.004292534722222222,100
qwen25_3b,be_present,extra_long,filler_after_distractor,9,0.15355902777777777,-0.017786458333333335,100
qwen25_3b,be_present,extra_long,filler_after_distractor,10,0.18762586805555556,0.017638888888888888,100
qwen25_3b,be_present,extra_long,filler_after_distractor,11,0.1904904513888889,0.010564236111111111,100
qwen25_3b,be_present,extra_long,filler_after_distractor,12,0.20200954861111112,0.015108506944444445,100
qwen25_3b,be_present,extra_long,filler_after_distractor,13,0.1607638888888889,0.0018315972222222223,100
qwen25_3b,be_present,extra_long,filler_after_distractor,14,0.29214409722222223,0.0403125,100
qwen25_3b,be_present,extra_long,filler_after_distractor,15,0.300859375,0.03459201388888889,100
qwen25_3b,be_present,extra_long,filler_after_distractor,16,0.3284939236111111,0.02118923611111111,100
qwen25_3b,be_present,extra_long,filler_after_distractor,17,0.339921875,0.017638888888888888,100
qwen25_3b,be_present,extra_long,filler_after_distractor,18,0.33154947916666666,-0.009149305555555556,100
qwen25_3b,be_present,extra_long,filler_after_distractor,19,0.3326909722222222,0.03327690972222222,100
qwen25_3b,be_present,extra_long,filler_after_distractor,20,0.31741319444444444,0.050594618055555554,100
qwen25_3b,be_present,extra_long,filler_after_distractor,21,0.3119618055555556,0.003120659722222222,100
qwen25_3b,be_present,extra_long,filler_after_distractor,22,0.36212239583333333,0.015147569444444444,100
qwen25_3b,be_present,extra_long,filler_after_distractor,23,0.38406684027777777,-0.003689236111111111,100
qwen25_3b,be_present,extra_long,filler_after_distractor,24,0.38000868055555553,0.03852864583333333,100
qwen25_3b,be_present,extra_long,filler_after_distractor,25,0.44624131944444445,0.013407118055555556,100
qwen25_3b,be_present,extra_long,filler_after_distractor,26,0.37862413194444444,0.022782118055555557,100
qwen25_3b,be_present,extra_long,filler_after_distractor,27,0.32774739583333334,-0.020737847222222223,100
qwen25_3b,be_present,extra_long,filler_after_distractor,28,0.29737847222222225,-0.026675347222222222,100
qwen25_3b,be_present,extra_long,filler_after_distractor,29,0.5793836805555556,0.05392361111111111,100
qwen25_3b,be_present,extra_long,filler_after_distractor,30,0.20745225694444444,0.005846354166666666,100
qwen25_3b,be_present,extra_long,filler_after_distractor,31,0.11009548611111111,0.011245659722222223,100
qwen25_3b,be_present,extra_long,filler_after_distractor,32,0.084609375,0.007013888888888889,100
qwen25_3b,be_present,extra_long,filler_after_distractor,33,0.07979600694444444,0.0030989583333333333,100
qwen25_3b,be_present,extra_long,filler_after_distractor,34,0.07371527777777778,-0.003841145833333333,100
qwen25_3b,be_present,extra_long,filler_after_distractor,35,0.0,0.0,100
qwen25_3b,be_present,extra_long,final,1,0.16609375,-0.06171875,100
qwen25_3b,be_present,extra_long,final,2,-0.217421875,-0.08640625,100
qwen25_3b,be_present,extra_long,final,3,-0.1590625,-0.08515625,100
qwen25_3b,be_present,extra_long,final,4,-0.34234375,-0.126953125,100
qwen25_3b,be_present,extra_long,final,5,-0.376328125,0.11390625,100
qwen25_3b,be_present,extra_long,final,6,-0.255390625,-0.011015625,100
qwen25_3b,be_present,extra_long,final,7,-0.1234375,-0.07671875,100
qwen25_3b,be_present,extra_long,final,8,0.108828125,-0.02015625,100
qwen25_3b,be_present,extra_long,final,9,0.12046875,-0.23859375,100
qwen25_3b,be_present,extra_long,final,10,0.10078125,-0.019765625,100
qwen25_3b,be_present,extra_long,final,11,0.14890625,-0.149140625,100
qwen25_3b,be_present,extra_long,final,12,0.030703125,0.050234375,100
qwen25_3b,be_present,extra_long,final,13,0.03359375,-0.05515625,100
qwen25_3b,be_present,extra_long,final,14,0.301171875,0.03390625,100
qwen25_3b,be_present,extra_long,final,15,0.30078125,0.2640625,100
qwen25_3b,be_present,extra_long,final,16,0.264296875,0.31578125,100
qwen25_3b,be_present,extra_long,final,17,0.257734375,-0.0190625,100
qwen25_3b,be_present,extra_long,final,18,0.3340625,-0.014140625,100
qwen25_3b,be_present,extra_long,final,19,0.454140625,0.137109375,100
qwen25_3b,be_present,extra_long,final,20,0.305703125,0.51078125,100
qwen25_3b,be_present,extra_long,final,21,0.342578125,-0.098515625,100
qwen25_3b,be_present,extra_long,final,22,0.546875,0.1971875,100
qwen25_3b,be_present,extra_long,final,23,0.819921875,0.1059375,100
qwen25_3b,be_present,extra_long,final,24,0.82828125,0.28171875,100
qwen25_3b,be_present,extra_long,final,25,1.011796875,0.162421875,100
qwen25_3b,be_present,extra_long,final,26,1.723203125,0.100625,100
qwen25_3b,be_present,extra_long,final,27,1.786171875,0.085546875,100
qwen25_3b,be_present,extra_long,final,28,2.300546875,0.1871875,100
qwen25_3b,be_present,extra_long,final,29,5.320859375,0.526328125,100
qwen25_3b,be_present,extra_long,final,30,6.2265625,0.020625,100
qwen25_3b,be_present,extra_long,final,31,6.701171875,0.64578125,100
qwen25_3b,be_present,extra_long,final,32,7.5259375,0.378046875,100
qwen25_3b,be_present,extra_long,final,33,8.117109375,-1.061015625,100
qwen25_3b,be_present,extra_long,final,34,8.963125,-0.140390625,100
qwen25_3b,be_present,extra_long,final,35,4.0796875,0.040703125,100
qwen25_3b,be_present,extra_long,prefix_before_subject,1,-0.0528125,0.01421875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,2,-0.02953125,-0.00296875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,3,-0.025859375,-0.01140625,100
