model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
phi2,distractor,distractor,9,False,-1.0,2.03658250156714,1.9821946415365959,2.091285664268902,0.001574557654711665,0.0006872264098147957,0.00248175640495456,-0.06571818209018837,-0.07063380226391512,-0.06080969541656728,392
phi2,distractor,distractor,9,False,1.0,0.1939151870961092,0.17021660646613762,0.21832779773644037,0.0011227228203598335,0.00025043402399335587,0.002018919161387852,-0.06477264238863575,-0.06979332762916073,-0.05973986344678062,392
phi2,distractor,distractor,10,False,-1.0,1.95766438513386,1.905935537875915,2.0092663497340926,0.012005659998679648,0.011004335113934107,0.013002640738779185,0.047275368048220266,0.04241302810153183,0.05228365341416833,392
phi2,distractor,distractor,10,False,1.0,0.22649186241383457,0.19822518935008926,0.25553514793211096,0.011378896479703943,0.010408384459359305,0.012359012876238142,0.029326395112641002,0.025732658610862935,0.03307451891655824,392
phi2,distractor,distractor,11,False,-1.0,0.9709158722235232,0.9468754154078814,0.9959902589418449,0.00937774473307084,0.008762115605023442,0.009976879796203302,-0.004294191898942805,-0.00765843391418457,-0.0010298301168039615,392
phi2,distractor,distractor,11,False,1.0,0.15248532927766137,0.1399296548901772,0.1644709289073944,0.009190610476902552,0.008564297824489827,0.009791000643554999,0.024806447580558104,0.021929290870419976,0.028123249143970255,392
phi2,distractor,distractor,12,False,-1.0,0.9278881428193073,0.9045677819422314,0.952087181441638,0.032934067200641244,0.03157752515101919,0.034313753125618913,-0.019667059385857617,-0.023027940733092174,-0.016269449737607217,392
phi2,distractor,distractor,12,False,1.0,0.23181998486421546,0.2166732988187245,0.24704804554277537,0.028437380888024156,0.027137768998438,0.029703960126760055,-0.005934618768237886,-0.009416128096937324,-0.002457612712367052,392
phi2,distractor,distractor,13,False,-1.0,0.8810712877584963,0.8595373282627184,0.9031919429496843,-0.00799611150001993,-0.008498268468039376,-0.007534624362478451,0.006432369452755467,0.0037171727135067896,0.009199210230996006,392
phi2,distractor,distractor,13,False,1.0,0.1875690221786499,0.17531002206461768,0.2004099857442233,-0.008643712316240584,-0.009151072465643591,-0.00817247665658289,0.002342254937100572,0.00013187610778678805,0.004824339917727878,392
phi2,distractor,distractor,14,False,-1.0,0.8730690819876534,0.8526307025126049,0.8943837334915082,0.01053551265171596,0.010098605679005992,0.010974907266850374,-0.0018306313728799622,-0.0040429092588878815,0.0005451077912129512,392
phi2,distractor,distractor,14,False,1.0,0.1815784099150677,0.16970422541608615,0.19396413363972487,0.010577182380520567,0.010138685362679619,0.011017724080961579,-0.0018566473811662118,-0.00405166153194142,0.0004050090199425098,392
phi2,distractor,distractor,15,False,-1.0,0.7150089327169924,0.6963315643826309,0.7337115831521093,0.0007059549798770826,0.00022477823860791267,0.0011723778077534258,0.0028709854398454937,0.0011339487672663063,0.004610777793287419,392
phi2,distractor,distractor,15,False,1.0,0.19515713380307567,0.1861018647344745,0.20438043244031012,0.00015265114453374124,-0.0003239038039226921,0.0006280799301303161,0.01187457276039383,0.010077227763578193,0.013762811312870103,392
phi2,distractor,distractor,16,False,-1.0,0.6693199143117788,0.6516998554370841,0.6868135665144239,0.012238137576044823,0.011891054803011369,0.012596606113472762,-0.0679099940929283,-0.07068913964187207,-0.06517679569672566,392
phi2,distractor,distractor,16,False,1.0,0.3603799537736542,0.3489130279239343,0.37154742132644264,0.012169976623690858,0.011826270210499666,0.012525439323211202,-0.05784260658990768,-0.06001164613126897,-0.055726722450483414,392
phi2,distractor,distractor,17,False,-1.0,0.5584133109267877,0.5433501910798404,0.5742562225278542,-0.004982736645912637,-0.00528209562204322,-0.0046824546492829616,0.007894904435086413,0.005477719971922791,0.01041499189779061,392
