distance_bucket,role,offset_from_final,offset_from_distractor,token_pos,token_str,model_tag,aux_pair,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_rows
extra_long,between_subject_distractor,-22,-3,2, of,qwen25_3b,be_present,1+,1.9732142857142858,1.9732142857142858,1.9732142857142858,-0.03861607142857143,-0.03861607142857143,-0.03861607142857143,1.9345982142857143,5,1,35
extra_long,between_subject_distractor,-21,-2,2, of,qwen25_3b,be_present,1+,2.4534113455988455,2.3369291689213565,2.5822378923160176,-0.004676226551226552,-0.010680465367965368,0.0009055961399711379,2.448735119047619,6,99,3465
extra_long,between_subject_distractor,-21,-2,3, the,qwen25_3b,be_present,1+,0.11450892857142857,0.11450892857142857,0.11450892857142857,0.003794642857142857,0.003794642857142857,0.003794642857142857,0.11071428571428571,6,1,35
extra_long,between_subject_distractor,-20,-1,3, the,qwen25_3b,be_present,1+,0.09214917027417029,0.08263821248196247,0.1037269457972583,0.003975018037518038,0.0017402259199134193,0.006355970418470418,0.08817415223665225,14,99,3465
extra_long,between_subject_distractor,-20,-1,4, coordin,qwen25_3b,be_present,1+,0.0234375,0.0234375,0.0234375,0.004464285714285714,0.004464285714285714,0.004464285714285714,0.018973214285714288,8,1,35
extra_long,distractor,-19,0,4, actors,qwen25_3b,be_present,1+,0.11378348214285713,0.09174107142857144,0.13582589285714286,0.03052455357142857,0.026004464285714284,0.036272321428571425,0.08325892857142857,1,4,140
extra_long,distractor,-19,0,4, administrators,qwen25_3b,be_present,1+,0.046205357142857145,0.046205357142857145,0.046205357142857145,0.014955357142857144,0.014955357142857144,0.014955357142857144,0.03125,8,1,35
extra_long,distractor,-19,0,4, advisors,qwen25_3b,be_present,1+,0.12784598214285714,0.08984375,0.16227678571428572,0.008593749999999999,-0.022712053571428574,0.02974330357142857,0.11925223214285714,29,4,140
extra_long,distractor,-19,0,4, analysts,qwen25_3b,be_present,1+,0.18191964285714288,0.13683035714285716,0.24040178571428572,0.049479166666666664,0.037723214285714284,0.0640625,0.13244047619047622,1,3,105
extra_long,distractor,-19,0,4, artists,qwen25_3b,be_present,1+,0.08850446428571429,0.06517857142857143,0.11183035714285715,-0.0013392857142857147,-0.02299107142857143,0.0203125,0.08716517857142858,2,2,70
extra_long,distractor,-19,0,4, assistants,qwen25_3b,be_present,1+,0.0734375,0.0734375,0.0734375,0.00625,0.00625,0.00625,0.0671875,28,1,35
extra_long,distractor,-19,0,4, chefs,qwen25_3b,be_present,1+,0.12016369047619047,0.11104910714285715,0.12972749255952382,0.029352678571428568,0.01774553571428571,0.03913690476190476,0.0908110119047619,2,6,210
extra_long,distractor,-19,0,4, consultants,qwen25_3b,be_present,1+,0.11049107142857142,0.11049107142857142,0.11049107142857142,0.008035714285714285,0.008035714285714285,0.008035714285714285,0.10245535714285714,1,1,35
extra_long,distractor,-19,0,4, contractors,qwen25_3b,be_present,1+,0.0857700892857143,0.022879464285714284,0.14866071428571428,-0.003571428571428571,-0.03504464285714286,0.022712053571428567,0.08219866071428572,25,4,140
extra_long,distractor,-19,0,4, customers,qwen25_3b,be_present,1+,0.09218749999999999,0.05570790816326531,0.13176179846938774,0.0007015306122448989,-0.01865911989795918,0.015085299744897956,0.09148596938775509,2,7,245
extra_long,distractor,-19,0,4, designers,qwen25_3b,be_present,1+,0.09709821428571429,0.0921875,0.10200892857142857,0.021763392857142856,0.019419642857142858,0.024107142857142858,0.07533482142857142,1,2,70
extra_long,distractor,-19,0,4, developers,qwen25_3b,be_present,1+,0.11227678571428572,0.11227678571428572,0.11227678571428572,0.06741071428571428,0.06741071428571428,0.06741071428571428,0.044866071428571436,2,1,35
extra_long,distractor,-19,0,4, directors,qwen25_3b,be_present,1+,0.1444940476190476,0.13013392857142858,0.15825892857142856,0.013318452380952382,0.000669642857142857,0.028125,0.13117559523809522,2,3,105
extra_long,distractor,-19,0,4, doctors,qwen25_3b,be_present,1+,0.07042410714285714,0.02979910714285714,0.1122767857142857,0.017020089285714284,0.010044642857142858,0.023102678571428573,0.053404017857142855,12,4,140
extra_long,distractor,-19,0,4, drivers,qwen25_3b,be_present,1+,0.05959821428571429,0.046651785714285715,0.07823660714285713,0.020982142857142855,0.008370535714285714,0.03621651785714286,0.03861607142857143,2,4,140
extra_long,distractor,-19,0,4, employees,qwen25_3b,be_present,1+,0.1090029761904762,0.06763392857142857,0.18303571428571427,0.02157738095238095,0.0035714285714285713,0.03571428571428571,0.08742559523809526,2,3,105
extra_long,distractor,-19,0,4, engineers,qwen25_3b,be_present,1+,0.07254464285714286,0.046875,0.121875,0.005357142857142856,-0.004464285714285714,0.013839285714285714,0.06718750000000001,8,3,105
extra_long,distractor,-19,0,4, farmers,qwen25_3b,be_present,1+,0.06302083333333335,0.02120535714285714,0.1171875,-0.0078125,-0.014732142857142855,-0.0020089285714285712,0.055208333333333345,8,3,105
extra_long,distractor,-19,0,4, inspectors,qwen25_3b,be_present,1+,0.10535714285714286,0.059821428571428574,0.15089285714285713,0.03794642857142857,0.005357142857142857,0.07053571428571428,0.0674107142857143,29,2,70
extra_long,distractor,-19,0,4, lawyers,qwen25_3b,be_present,1+,0.17410714285714285,0.17410714285714285,0.17410714285714285,0.03459821428571429,0.03459821428571429,0.03459821428571429,0.13950892857142855,2,1,35
