distance_bucket,role,offset_from_final,offset_from_distractor,token_pos,token_str,model_tag,aux_pair,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_rows
extra_long,between_subject_distractor,-22,-3,2, of,phi2,be_present,1+,1.8982234154978106,1.8982234154978106,1.8982234154978106,0.018776524451471144,0.018776524451471144,0.018776524451471144,1.8794468910463396,22,1,31
extra_long,between_subject_distractor,-21,-2,2, of,phi2,be_present,1+,1.5809919031639759,1.5210122333749103,1.6446371631460726,0.021112662645068375,0.019206444531164484,0.023268374467602996,1.5598792405189075,22,99,3069
extra_long,between_subject_distractor,-21,-2,3, the,phi2,be_present,1+,0.29755906135805194,0.29755906135805194,0.29755906135805194,0.007376640073714718,0.007376640073714718,0.007376640073714718,0.29018242128433724,22,1,31
extra_long,between_subject_distractor,-20,-1,3, the,phi2,be_present,1+,0.355837366409277,0.33984462402277876,0.3718318642991961,0.004974399726994459,0.003774993526077146,0.006150845193288039,0.3508629666822825,4,99,3069
extra_long,between_subject_distractor,-20,-1,4, coordin,phi2,be_present,1+,0.08195963213520666,0.08195963213520666,0.08195963213520666,0.005748071978169103,0.005748071978169103,0.005748071978169103,0.07621156015703755,22,1,31
extra_long,distractor,-19,0,4, actors,phi2,be_present,1+,0.28664859648673763,0.23396363565998693,0.32373196847977176,0.00804219707365959,0.0024881362915039062,0.015239038775044102,0.278606399413078,22,4,124
extra_long,distractor,-19,0,4, administrators,phi2,be_present,1+,0.30010632545717303,0.30010632545717303,0.30010632545717303,0.020044695946478074,0.020044695946478074,0.020044695946478074,0.28006162951069496,22,1,31
extra_long,distractor,-19,0,4, advisors,phi2,be_present,1+,0.3091777909186578,0.24635897144194574,0.3608415126800537,0.0017331877062397617,-0.0070265954540621855,0.008052102981075164,0.30744460321241807,22,4,124
extra_long,distractor,-19,0,4, analysts,phi2,be_present,1+,0.30014295475457303,0.26322906248031125,0.32665025034258444,0.016236253964003695,0.01369061008576424,0.017914095232563633,0.28390670079056934,22,3,93
extra_long,distractor,-19,0,4, artists,phi2,be_present,1+,0.2764013351932649,0.26058713851436494,0.2922155318721648,0.0035375010582708545,-0.005405364498015373,0.012480366614557082,0.27286383413499404,22,2,62
extra_long,distractor,-19,0,4, assistants,phi2,be_present,1+,0.36220202907439203,0.36220202907439203,0.36220202907439203,0.016243319357595137,0.016243319357595137,0.016243319357595137,0.3459587097167969,22,1,31
extra_long,distractor,-19,0,4, chefs,phi2,be_present,1+,0.26526356768864456,0.24716853582730858,0.2872950953821982,0.0030960831590878066,-0.0011462594873161726,0.007153963914481543,0.26216748452955674,22,6,186
extra_long,distractor,-19,0,4, consultants,phi2,be_present,1+,0.3168472166984312,0.3168472166984312,0.3168472166984312,0.0039010509367912046,0.0039010509367912046,0.0039010509367912046,0.31294616576163997,22,1,31
extra_long,distractor,-19,0,4, contractors,phi2,be_present,1+,0.25293759376771985,0.23365187644958496,0.2730438017076061,0.003031461469588741,-0.004943193927887947,0.013139417094569053,0.2499061322981311,22,4,124
extra_long,distractor,-19,0,4, customers,phi2,be_present,1+,0.26096313230452994,0.22687610338360478,0.2977043168336015,0.0077906797558481245,-0.000874525720622682,0.016862198614305067,0.2531724525486818,22,7,217
extra_long,distractor,-19,0,4, designers,phi2,be_present,1+,0.24256409368207377,0.20044520593458606,0.2846829814295615,-0.007550916364116054,-0.010661463583669355,-0.004440369144562752,0.2350131773179577,22,2,62
extra_long,distractor,-19,0,4, developers,phi2,be_present,1+,0.2682747071789157,0.2682747071789157,0.2682747071789157,-0.0005119385257844002,-0.0005119385257844002,-0.0005119385257844002,0.2677627686531313,22,1,31
extra_long,distractor,-19,0,4, directors,phi2,be_present,1+,0.32150302394743885,0.2847351258800876,0.3451808498751732,0.0022276806574995796,-0.004907361922725555,0.005920625502063382,0.3192753432899393,22,3,93
extra_long,distractor,-19,0,4, doctors,phi2,be_present,1+,0.26705002784729004,0.19219688446291033,0.32787313768940585,-0.0017777412168441277,-0.0058509995860438185,0.0022077098969490298,0.2652722866304459,22,4,124
extra_long,distractor,-19,0,4, drivers,phi2,be_present,1+,0.35393202689386183,0.3293920793840962,0.3762315165612006,0.004083225803990518,-0.0029820088417299336,0.009516839058168473,0.3498488010898713,22,4,124
extra_long,distractor,-19,0,4, employees,phi2,be_present,1+,0.2854415524390436,0.24177228250811178,0.3559039023614699,0.005830221278693086,0.0019724753595167593,0.008918331515404486,0.27961133116035053,22,3,93
extra_long,distractor,-19,0,4, engineers,phi2,be_present,1+,0.256526352256857,0.21719477253575478,0.30115782830022997,0.01010438447357506,0.007342123216198337,0.013823570743683846,0.24642196778328193,22,3,93
extra_long,distractor,-19,0,4, farmers,phi2,be_present,1+,0.16944180765459613,0.11139411310995778,0.2162056584512034,0.0033414594588741177,0.0002337117348947833,0.008797707096222908,0.166100348195722,22,3,93
extra_long,distractor,-19,0,4, inspectors,phi2,be_present,1+,0.26000839664090064,0.22777674275059853,0.2922400505312027,-0.008956309287778793,-0.01160369380827873,-0.0063089247672788555,0.25105208735312184,22,2,62
extra_long,distractor,-19,0,4, lawyers,phi2,be_present,1+,0.29310254127748553,0.29310254127748553,0.29310254127748553,-0.015409069676553049,-0.015409069676553049,-0.015409069676553049,0.2776934716009325,22,1,31
extra_long,distractor,-19,0,4, leaders,phi2,be_present,1+,0.1229569835047568,0.1229569835047568,0.1229569835047568,-0.006727772374306956,-0.006727772374306956,-0.006727772374306956,0.11622921113044984,22,1,31
extra_long,distractor,-19,0,4, managers,phi2,be_present,1+,0.3702939248854114,0.3702939248854114,0.3702939248854114,-0.007934539548812373,-0.007934539548812373,-0.007934539548812373,0.36235938533659906,22,1,31
