model_tag,aux_pair,distance_bucket,role,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_item_layer_rows
llama32_3b,be_present,extra_long,between_subject_distractor,1+,0.6177869405864198,0.5817768735532408,0.6579383439429012,0.0018132716049382711,0.00022084780092592612,0.003339590567129629,0.6159736689814815,1,100,2700
llama32_3b,be_present,extra_long,distractor,1+,0.14063368055555553,0.12782566550925928,0.15363831018518515,-0.007644675925925925,-0.010075593171296297,-0.005153067129629631,0.1329890046296296,19,100,2700
llama32_3b,be_present,extra_long,filler_after_distractor,1+,0.3175205761316872,0.3052327755272634,0.329307761863426,0.001035718878600823,2.083333333333322e-05,0.002140416023662551,0.3164848572530864,19,100,2700
llama32_3b,be_present,extra_long,final,1+,2.328020833333333,2.2942682291666667,2.360546802662037,-5.208333333333329e-05,-0.0018319589120370369,0.0017392939814814812,2.3279687499999997,27,100,2700
llama32_3b,be_present,extra_long,prefix_before_subject,1+,0.09453414351851853,0.08717570891203703,0.10191138599537038,0.0002980324074074075,-0.000798683449074074,0.001429398148148148,0.09423611111111113,13,100,2700
llama32_3b,be_present,extra_long,subject,1+,1.5998234953703703,1.540683376736111,1.6585302372685184,0.003874421296296296,0.0021841001157407412,0.0054575376157407415,1.595949074074074,1,100,2700
llama32_3b,be_present,long,between_subject_distractor,1+,0.7802454668209876,0.7423083646797839,0.8166167173032409,0.0038257137345679023,0.002259633005401235,0.005464928144290124,0.7764197530864198,2,100,2700
llama32_3b,be_present,long,distractor,1+,0.20925636574074072,0.1946017795138889,0.22434743923611114,-0.004794560185185185,-0.008094545717592593,-0.0016231915509259287,0.20446180555555554,19,100,2700
llama32_3b,be_present,long,filler_after_distractor,1+,0.4786046810699589,0.4585772006815843,0.49922000385802456,0.0004584619341563788,-0.0006077594521604938,0.0014760561342592594,0.4781462191358025,19,100,2700
llama32_3b,be_present,long,final,1+,3.2924999999999995,3.2018789062499993,3.38467064525463,0.0076996527777777775,0.004539858217592593,0.01112044270833333,3.284800347222222,27,100,2700
llama32_3b,be_present,long,prefix_before_subject,1+,0.12228587962962964,0.11599233217592592,0.12932118055555555,0.0010040509259259258,-9.259259259259255e-05,0.0021181278935185188,0.12128182870370371,13,100,2700
llama32_3b,be_present,long,subject,1+,2.042274305555556,1.9623854890046302,2.117941623263889,0.008990162037037036,0.007100549768518521,0.010978153935185184,2.033284143518519,1,100,2700
llama32_3b,be_present,medium,between_subject_distractor,1+,0.691452546296296,0.6413591700424383,0.7391550805362656,0.004623360339506173,0.002543921199845679,0.0065923996913580234,0.6868291859567899,2,100,2700
llama32_3b,be_present,medium,distractor,1+,0.2553993055555555,0.23061422164351852,0.2780253906249999,-0.00816550925925926,-0.011736472800925928,-0.004739076967592593,0.24723379629629624,20,100,2700
llama32_3b,be_present,medium,filler_after_distractor,1+,0.5454494598765433,0.497700038580247,0.5930359519675925,0.005059799382716049,0.003624131944444445,0.006375482253086421,0.5403896604938272,13,100,2700
llama32_3b,be_present,medium,final,1+,3.1810040509259254,3.0543671875000005,3.30050267650463,-0.028220486111111113,-0.032107132523148146,-0.023853081597222225,3.1527835648148144,27,100,2700
llama32_3b,be_present,medium,prefix_before_subject,1+,0.13694444444444442,0.12777524594907408,0.1461140769675926,-4.340277777777778e-05,-0.0011666666666666665,0.0011056134259259255,0.13690104166666664,13,100,2700
llama32_3b,be_present,medium,subject,1+,1.8749189814814815,1.766619646990741,1.9740585937499997,0.009293981481481481,0.006643373842592592,0.011701822916666669,1.865625,1,100,2700
