model_tag,direction,position,alpha,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
qwen25_3b,subject_train_split,distractor,1.0,1+,0.10128634997776575,0.08650525528557446,0.11712919679397049,0.018282891339301135,0.014314023237765936,0.02267758597437911,0.08300345863846462,29,196
qwen25_3b,subject_train_split,final,1.0,1+,1.2130495042217022,1.1659640872895545,1.2649533428673145,0.025689586420680158,0.020177203645048148,0.03150496352518265,1.1873599178010221,34,196
qwen25_3b,subject_train_split,subject,1.0,1+,4.532076308192039,4.4060157806915035,4.655390016292343,0.007492739257590068,0.00321752539760749,0.011669154939892455,4.524583568934449,1,196
