model_tag,direction,position,alpha,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
phi2,subject_train_split,distractor,1.0,1+,0.35427948532330505,0.3362664755706021,0.37372825184568437,-0.006169092506072175,-0.008428350506264153,-0.003986773782323687,0.3481103928172329,22,196
phi2,subject_train_split,final,1.0,1+,3.190040696679643,3.117302184598551,3.265791372106294,-0.03409127124914454,-0.03980536359769617,-0.028416933898526064,3.1559494254304985,30,196
phi2,subject_train_split,subject,1.0,1+,2.7113914299827417,2.6273757594207776,2.794643141506847,0.012568392564205581,0.011616987696284128,0.013483838981930195,2.6988230374185362,1,196
