model_tag,direction,position,alpha,effect_mean,effect_ci_lo,effect_ci_hi,n_items
llama32_3b,subject_train_split,final,-1.0,2.8201118733787385,2.7669601317773878,2.8715234292044576,196
llama32_3b,subject_train_split,final,1.0,-3.215393188949435,-3.2644420381125765,-3.1684214871666785,196
