model_tag,direction,position,alpha,effect_mean,effect_ci_lo,effect_ci_hi,n_items
phi2,subject_train_split,final,-1.0,3.694764112468767,3.6361269022148637,3.75224386045735,196
phi2,subject_train_split,final,1.0,-3.190040696679643,-3.265791372106294,-3.117302184598551,196
