model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
llama32_3b,extra_long,distractor,1+,0.14063368055555553,0.12782566550925928,0.15363831018518515,-0.007644675925925925,-0.010075593171296297,-0.005153067129629631,0.1329890046296296,19,100
llama32_3b,extra_long,final,1+,2.328020833333333,2.2942682291666667,2.360546802662037,-5.208333333333329e-05,-0.0018319589120370369,0.0017392939814814812,2.3279687499999997,27,100
llama32_3b,extra_long,subject,1+,1.5998234953703703,1.540683376736111,1.6585302372685184,0.003874421296296296,0.0021841001157407412,0.0054575376157407415,1.595949074074074,1,100
llama32_3b,long,distractor,1+,0.20925636574074072,0.1946017795138889,0.22434743923611114,-0.004794560185185185,-0.008094545717592593,-0.0016231915509259287,0.20446180555555554,19,100
llama32_3b,long,final,1+,3.2924999999999995,3.2018789062499993,3.38467064525463,0.0076996527777777775,0.004539858217592593,0.01112044270833333,3.284800347222222,27,100
llama32_3b,long,subject,1+,2.042274305555556,1.9623854890046302,2.117941623263889,0.008990162037037036,0.007100549768518521,0.010978153935185184,2.033284143518519,1,100
llama32_3b,medium,distractor,1+,0.2553993055555555,0.23061422164351852,0.2780253906249999,-0.00816550925925926,-0.011736472800925928,-0.004739076967592593,0.24723379629629624,20,100
llama32_3b,medium,final,1+,3.1810040509259254,3.0543671875000005,3.30050267650463,-0.028220486111111113,-0.032107132523148146,-0.023853081597222225,3.1527835648148144,27,100
llama32_3b,medium,subject,1+,1.8749189814814815,1.766619646990741,1.9740585937499997,0.009293981481481481,0.006643373842592592,0.011701822916666669,1.865625,1,100
llama32_3b,short,distractor,1+,2.7770377604166665,2.723506474247685,2.830695276331018,0.006073495370370371,0.0009656394675925914,0.011285590277777775,2.7709642650462962,27,100
llama32_3b,short,final,1+,2.7770377604166665,2.723506474247685,2.830695276331018,0.006073495370370371,0.0009656394675925914,0.011285590277777775,2.7709642650462962,27,100
llama32_3b,short,subject,1+,3.0710069444444446,2.9326353443287037,3.2064930555555557,0.005899884259259259,0.0036080005787037035,0.008168402777777778,3.065107060185185,1,100
