model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
phi2,extra_long,distractor,1+,0.28438464318552326,0.27220714857501366,0.29710667984716355,0.0032502801956668975,0.0009929503856166714,0.005453036885107715,0.28113436298985633,22,100
phi2,extra_long,final,1+,2.677843262764715,2.637605658477352,2.718520386057515,-0.062125706518850014,-0.06507146991452863,-0.0592319863611652,2.615717556245865,30,100
phi2,extra_long,subject,1+,1.8083133666746076,1.7276061805525134,1.8902059589201403,0.010049807025540258,0.00901254758527202,0.01116518129840974,1.7982635596490675,1,100
phi2,long,distractor,1+,0.445252836904218,0.4249718731987861,0.46338486820651636,0.0020479915988060745,-0.0019468570063191075,0.005757055544084117,0.44320484530541193,22,100
phi2,long,final,1+,4.085592246824696,3.9877363731399664,4.164681454958454,-0.01311369372952369,-0.018230746722990465,-0.008561884433992447,4.072478553095173,30,100
phi2,long,subject,1+,2.2641279491301507,2.19111324937882,2.3387342111602902,0.007933891973187846,0.006713063340033254,0.009277883944972868,2.256194057156963,1,100
phi2,medium,distractor,1+,0.4820897200799758,0.4607356890555352,0.5030918110878236,0.0030288859336606916,-0.001567116452801612,0.007750300676591932,0.4790608341463151,22,100
phi2,medium,final,1+,5.3786059161155455,5.210127124386449,5.543848589904847,0.015989302050682802,0.0066983931987516345,0.02578720612679758,5.362616614064863,25,100
phi2,medium,subject,1+,2.414766192897673,2.32560754083818,2.510254260963009,0.005729242447883852,0.004301742261455906,0.007345716114967099,2.4090369504497895,1,100
phi2,short,distractor,1+,3.312821695112413,3.224406391928272,3.4045082214340083,-0.014315051724833827,-0.02519991389397652,-0.004240885003920526,3.2985066433875794,30,100
phi2,short,final,1+,3.312821695112413,3.224406391928272,3.4045082214340083,-0.014315051724833827,-0.02519991389397652,-0.004240885003920526,3.2985066433875794,30,100
phi2,short,subject,1+,3.016669370897355,2.830077758389135,3.198604195333296,0.002473158990183184,0.0007402300834655761,0.004195774939752395,3.014196211907172,1,100
