model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
qwen25_3b,extra_long,distractor,1+,0.0966674107142857,0.08616456473214286,0.10753861607142856,0.012258928571428572,0.007148325892857144,0.017376897321428567,0.08440848214285712,2,100
qwen25_3b,extra_long,final,1+,1.649917410714286,1.6157178571428572,1.6810902901785718,0.054113839285714276,0.04121350446428571,0.06733755580357143,1.5958035714285717,34,100
qwen25_3b,extra_long,subject,1+,3.1323772321428573,2.998975390625,3.270169977678571,-0.007825892857142856,-0.01150239955357143,-0.003887946428571429,3.1245513392857145,1,100
qwen25_3b,long,distractor,1+,0.11301562500000001,0.09917589285714284,0.12767527901785714,0.015064732142857142,0.00926450892857143,0.021562890624999997,0.09795089285714287,29,100
qwen25_3b,long,final,1+,2.1681473214285716,2.1147359375000003,2.219314174107143,0.09610825892857143,0.08208934151785714,0.10874687499999999,2.0720390625,34,100
qwen25_3b,long,subject,1+,3.860104910714286,3.709859821428571,4.019800613839286,-0.011852678571428571,-0.016573325892857142,-0.006761830357142857,3.8482522321428574,1,100
qwen25_3b,medium,distractor,1+,0.20249553571428572,0.18042885044642853,0.2238220982142857,0.03702901785714286,0.026818749999999995,0.04721143973214287,0.16546651785714286,29,100
qwen25_3b,medium,final,1+,2.693897321428572,2.5802758370535717,2.8010358258928565,0.08371205357142855,0.07087232142857143,0.09582421875000001,2.6101852678571436,34,100
qwen25_3b,medium,subject,1+,3.992198660714286,3.810683816964285,4.1679919084821435,-0.012116071428571431,-0.01722723214285714,-0.007004241071428572,3.980082589285715,1,100
qwen25_3b,short,distractor,1+,2.0099642857142856,1.9396642857142856,2.0863854352678572,0.05364732142857143,0.033303013392857135,0.07518270089285714,1.956316964285714,34,100
qwen25_3b,short,final,1+,2.0099642857142856,1.9396642857142856,2.0863854352678572,0.05364732142857143,0.033303013392857135,0.07518270089285714,1.956316964285714,34,100
qwen25_3b,short,subject,1+,5.1470625000000005,4.848426116071428,5.430782421874999,0.005859375,-0.003074162946428572,0.015286328125,5.1412031250000005,1,100
