model_tag,direction,position,alpha,layers,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_shuf,real_vs_rand,peak_layer,n_items
phi2,distractor,distractor,1.0,1+,0.11732061141568474,0.10969594802175248,0.12507257674813976,0.0004182634108783855,0.00033669202950849903,0.0004952521682021018,0.0007105277038232679,-0.0002448615979175179,0.0016809312318117962,0.11690234800480635,0.11661008371186148,19,392
phi2,distractor,final,1.0,1+,0.6424066726905566,0.6129052083730855,0.6742679907311884,-0.014514756092827442,-0.014716666073607646,-0.014311559824978073,0.005714558262769553,0.0037828469736837142,0.007779441385748408,0.6278919165977291,0.6366921144277871,19,392
phi2,distractor,subject,1.0,1+,1.9061595777526665,1.8587656980521432,1.9539127611619538,-0.0012512790128696584,-0.001294995798257874,-0.001202868138040815,0.0030200227143499236,0.002520556191694901,0.0035390419933339183,1.904908298739797,1.9031395550383166,1,392
phi2,subject,distractor,1.0,1+,0.3501995117590567,0.3368541336259691,0.36356045638675194,0.0009010738256026288,0.000747802457266375,0.0010551547753018247,-0.005060627687021858,-0.0066163972997864235,-0.0035480919286088783,0.3492984379334541,0.34513888407203486,22,392
phi2,subject,final,1.0,1+,3.1878003617350092,3.140320519813587,3.2351231905270597,0.0038835870505477973,0.003684056460504237,0.004075124265333003,-0.036168059498065126,-0.0396066436412854,-0.03243059464287858,3.1839167746844614,3.151632302236944,30,392
phi2,subject,subject,1.0,1+,2.7636135775765123,2.70541462171737,2.8200804529631895,0.001258469632458263,0.0011878012158982136,0.0013253510979306469,0.012941105208272392,0.012274454683490506,0.013614074725290647,2.762355107944054,2.75067247236824,1,392
